eps_e,s_e,fitness_q132,n_ghosts,n_dark,n_gap
262.2338,1.9640,1.0000,0,29,53
268.5734,1.9640,1.0000,0,29,53
275.0663,1.9640,1.0000,0,29,53
281.7161,1.9640,1.0000,0,29,53
288.5267,1.9640,1.0000,0,29,53
295.5019,1.9640,1.0000,0,29,53
302.6458,1.9640,1.0000,0,29,53
309.9624,1.9640,1.0000,0,29,53
317.4559,1.9640,1.0000,0,29,53
325.1305,1.9640,1.0000,0,29,53
332.9906,1.9640,1.0000,0,29,53
341.0408,1.9640,1.0000,0,29,53
349.2856,1.9640,1.0000,0,29,53
357.7297,1.9640,1.0000,0,29,53
366.3780,1.9640,1.0000,0,29,53
375.2353,1.9640,1.0000,0,29,53
384.3068,1.9640,1.0000,0,29,53
393.5975,1.9640,1.0000,0,29,53
403.1129,1.9640,1.0000,0,29,53
412.8583,1.9640,1.0000,0,29,53
422.8393,1.9640,1.0000,0,29,53
433.0616,1.9640,1.0000,0,29,53
443.5310,1.9640,1.0000,0,29,53
454.2536,1.9640,1.0000,0,29,53
465.2353,1.9640,1.0000,0,29,53
476.4826,1.9640,1.0000,0,29,53
488.0017,1.9640,1.0000,0,29,53
499.7993,1.9640,1.0000,0,29,53
511.8822,1.9640,1.0000,0,29,53
524.2571,1.9640,1.0000,0,29,53
536.9313,1.9640,1.0000,0,29,53
549.9118,1.9640,1.0000,0,29,53
563.2061,1.9640,1.0000,0,29,53
576.8218,1.9640,1.0000,0,29,53
590.7667,1.9640,1.0000,0,29,53
605.0487,1.9640,1.0000,0,29,53
619.6760,1.9640,1.0000,0,29,53
634.6569,1.9640,1.0000,0,29,53
650.0000,1.9640,1.0000,0,29,53
250.0000,1.9660,1.6849,0,28,53
256.0438,1.9660,1.7007,0,28,53
262.2338,1.9660,1.7159,0,28,53
268.5734,1.9660,1.7303,0,28,53
275.0663,1.9660,1.7440,0,28,52
281.7161,1.9660,1.7571,0,28,52
288.5267,1.9660,1.7697,0,28,52
295.5019,1.9660,1.7816,0,28,52
302.6458,1.9660,1.7930,0,28,52
309.9624,1.9660,1.8039,0,28,52
317.4559,1.9660,1.8142,0,28,52
325.1305,1.9660,1.8241,0,28,52
332.9906,1.9660,1.8336,0,28,52
341.0408,1.9660,1.8426,0,28,52
349.2856,1.9660,1.8511,0,28,52
357.7297,1.9660,1.8593,0,28,52
366.3780,1.9660,1.8671,0,28,52
375.2353,1.9660,1.8746,0,28,52
384.3068,1.9660,1.8817,0,28,52
393.5975,1.9660,1.8885,0,28,52
403.1129,1.9660,1.8949,0,28,52
412.8583,1.9660,1.9011,0,28,52
422.8393,1.9660,1.9070,0,28,52
433.0616,1.9660,1.9126,0,28,52
443.5310,1.9660,1.9179,0,28,52
454.2536,1.9660,1.9230,0,28,52
465.2353,1.9660,1.9279,0,28,52
476.4826,1.9660,1.9325,0,28,52
488.0017,1.9660,1.9370,0,28,52
499.7993,1.9660,1.9412,0,28,52
511.8822,1.9660,1.9452,0,28,52
524.2571,1.9660,1.9490,0,28,52
536.9313,1.9660,1.9527,0,28,52
549.9118,1.9660,1.9562,0,28,52
563.2061,1.9660,1.9595,0,28,52
576.8218,1.9660,1.9627,0,28,52
590.7667,1.9660,1.9657,0,28,52
605.0487,1.9660,1.9686,0,28,52
619.6760,1.9660,1.9713,0,28,52
634.6569,1.9660,1.9739,0,28,52
650.0000,1.9660,1.9764,0,28,52
250.0000,1.9680,1.0000,0,29,52
256.0438,1.9680,1.0000,0,29,52
262.2338,1.9680,1.0000,0,29,52
268.5734,1.9680,1.0000,0,29,53
275.0663,1.9680,1.0000,0,29,53
281.7161,1.9680,1.0000,0,29,53
288.5267,1.9680,1.0000,0,29,53
295.5019,1.9680,1.0000,0,29,53
302.6458,1.9680,1.0000,0,29,53
309.9624,1.9680,1.0000,0,29,53
317.4559,1.9680,1.0000,0,29,53
325.1305,1.9680,1.0000,0,29,53
332.9906,1.9680,1.0000,0,29,53
341.0408,1.9680,1.0000,0,29,53
349.2856,1.9680,1.0000,0,29,53
357.7297,1.9680,1.0000,0,29,53
366.3780,1.9680,1.0000,0,29,53
375.2353,1.9680,1.0000,0,29,53
384.3068,1.9680,1.0000,0,29,53
393.5975,1.9680,1.0000,0,29,53
403.1129,1.9680,1.0000,0,29,53
412.8583,1.9680,1.0000,0,29,53
422.8393,1.9680,1.0000,0,29,53
433.0616,1.9680,1.0000,0,29,53
443.5310,1.9680,1.0000,0,29,53
454.2536,1.9680,1.0000,0,29,53
465.2353,1.9680,1.0000,0,29,53
