eps_p,s_p,fitness,ghost_count,mu36
0.430,0.020,1.9012,1,9.1629
0.440,0.020,1.0577,1,9.0427
0.450,0.020,1.3708,1,8.9291
0.460,0.020,1.9734,1,8.8214
0.470,0.020,1.5458,1,8.7193
0.480,0.020,1.6560,1,8.6224
0.490,0.020,1.8556,1,8.5304
0.500,0.020,1.8479,1,8.4430
0.510,0.020,2.1585,1,8.3598
0.520,0.020,1.8559,1,8.2806
0.530,0.020,1.5784,1,8.2051
0.540,0.020,1.7587,1,8.1331
0.550,0.020,1.9488,0,8.0645
0.560,0.020,2.0242,0,7.9989
0.570,0.020,2.7186,0,7.9363
0.580,0.020,3.7242,0,7.8764
0.590,0.020,3.8105,0,7.8191
0.600,0.020,2.9972,0,7.7643
0.610,0.020,2.2068,0,7.7117
0.620,0.020,1.8128,0,7.6614
0.630,0.020,1.7152,0,7.6131
0.640,0.020,1.6200,0,7.5668
0.650,0.020,1.5270,0,7.5223
0.660,0.020,1.4955,0,7.4796
0.670,0.020,1.8725,0,7.4386
0.680,0.020,2.5217,0,7.3991
0.690,0.020,2.6955,0,7.3612
0.700,0.020,2.5087,0,7.3247
0.710,0.020,2.7132,0,7.2895
0.720,0.020,3.0972,0,7.2557
0.730,0.020,3.2692,0,7.2230
0.740,0.020,3.8628,0,7.1916
0.750,0.020,4.3075,0,7.1613
0.760,0.020,4.4147,0,7.1320
0.770,0.020,4.0827,0,7.1037
0.780,0.020,3.6453,0,7.0765
0.790,0.020,3.6012,0,7.0501
0.800,0.020,3.6538,0,7.0247
0.810,0.020,3.5149,0,7.0001
0.820,0.020,3.6229,0,6.9763
0.830,0.020,3.7755,0,6.9533
0.840,0.020,4.0526,0,6.9310
0.850,0.020,4.3508,0,6.9094
0.860,0.020,4.5944,0,6.8886
0.870,0.020,4.7338,0,6.8683
0.880,0.020,4.7441,0,6.8488
0.890,0.020,4.3518,0,6.8298
0.900,0.020,3.9309,0,6.8114
0.910,0.020,3.7234,0,6.7935
0.920,0.020,3.8039,0,6.7762
0.930,0.020,3.8835,0,6.7594
0.940,0.020,3.8363,0,6.7431
0.950,0.020,3.5699,0,6.7273
0.960,0.020,3.2899,0,6.7119
0.970,0.020,3.0673,0,6.6969
0.980,0.020,2.8493,0,6.6824
0.990,0.020,2.6368,0,6.6683
1.000,0.020,2.8332,0,6.6546
1.010,0.020,3.1248,0,6.6413
1.020,0.020,3.3508,0,6.6283
1.030,0.020,3.2950,0,6.6157
1.040,0.020,3.0692,0,6.6034
1.050,0.020,2.5983,0,6.5914
1.060,0.020,2.1594,0,6.5798
1.070,0.020,1.9535,0,6.5685
1.080,0.020,1.8974,0,6.5574
1.090,0.020,1.8929,0,6.5467
1.100,0.020,1.9179,0,6.5362
1.110,0.020,1.9423,0,6.5260
1.120,0.020,1.9661,0,6.5160
1.130,0.020,1.9894,0,6.5063
1.140,0.020,2.0122,0,6.4968
1.150,0.020,2.0506,0,6.4876
1.160,0.020,2.1948,0,6.4786
1.170,0.020,2.3605,0,6.4698
1.180,0.020,2.5344,0,6.4612
1.190,0.020,2.7050,0,6.4528
1.200,0.020,2.8725,0,6.4447
0.400,0.030,1.5025,1,9.5487
0.410,0.030,2.2993,1,9.4057
0.420,0.030,2.9456,1,9.2708
0.430,0.030,1.7699,1,9.1435
0.440,0.030,1.0314,1,9.0231
0.450,0.030,1.4812,1,8.9091
0.460,0.030,1.9120,1,8.8012
0.470,0.030,1.5423,1,8.6989
0.480,0.030,1.7751,1,8.6018
0.490,0.030,1.7282,1,8.5096
0.500,0.030,1.8273,1,8.4219
0.510,0.030,2.3598,1,8.3385
0.520,0.030,2.2332,1,8.2591
0.530,0.030,1.9370,1,8.1834
0.540,0.030,1.9869,1,8.1112
0.550,0.030,1.8375,0,8.0424
0.560,0.030,2.0408,0,7.9767
0.570,0.030,3.0331,0,7.9138
0.580,0.030,3.9974,0,7.8538
0.590,0.030,3.5172,0,7.7963
0.600,0.030,2.6969,0,7.7413
0.610,0.030,1.9457,0,7.6886
0.620,0.030,1.8103,0,7.6381
0.630,0.030,1.7120,0,7.5897
0.640,0.030,1.6161,0,7.5433
0.650,0.030,1.5224,0,7.4987
0.660,0.030,1.5167,0,7.4558
0.670,0.030,1.7248,0,7.4147
0.680,0.030,2.3676,0,7.3751
0.690,0.030,2.8827,0,7.3370
0.700,0.030,2.6980,0,7.3004
0.710,0.030,3.1199,0,7.2651
0.720,0.030,3.5649,0,7.2311
0.730,0.030,3.7405,0,7.1984
0.740,0.030,3.9880,0,7.1668
0.750,0.030,4.4764,0,7.1364
0.760,0.030,4.3706,0,7.1070
0.770,0.030,4.0009,0,7.0787
0.780,0.030,3.7716,0,7.0513
0.790,0.030,3.8273,0,7.0249
0.800,0.030,3.7995,0,6.9993
0.810,0.030,3.9257,0,6.9746
0.820,0.030,4.0093,0,6.9508
0.830,0.030,3.9515,0,6.9277
0.840,0.030,4.0859,0,6.9053
0.850,0.030,4.2304,0,6.8837
0.860,0.030,4.3723,0,6.8627
0.870,0.030,4.2924,0,6.8424
0.880,0.030,4.2768,0,6.8228
0.890,0.030,3.9953,0,6.8037
0.900,0.030,3.7229,0,6.7852
0.910,0.030,3.4562,0,6.7673
0.920,0.030,3.1964,0,6.7499
0.930,0.030,3.2726,0,6.7330
0.940,0.030,3.3661,0,6.7167
0.950,0.030,3.4437,0,6.7008
0.960,0.030,3.5202,0,6.6853
0.970,0.030,3.4275,0,6.6703
0.980,0.030,3.2107,0,6.6558
0.990,0.030,2.9983,0,6.6416
1.000,0.030,2.9800,0,6.6278
1.010,0.030,3.1769,0,6.6144
1.020,0.030,3.3724,0,6.6014
1.030,0.030,3.2080,0,6.5887
1.040,0.030,3.1529,0,6.5764
1.050,0.030,2.7313,0,6.5644
1.060,0.030,2.2961,0,6.5527
1.070,0.030,1.9579,0,6.5413
1.080,0.030,1.9845,0,6.5302
1.090,0.030,2.0104,0,6.5194
1.100,0.030,2.0358,0,6.5089
1.110,0.030,2.0605,0,6.4987
1.120,0.030,2.0847,0,6.4887
1.130,0.030,2.1083,0,6.4789
1.140,0.030,2.1313,0,6.4694
1.150,0.030,2.2554,0,6.4601
1.160,0.030,2.4382,0,6.4511
1.170,0.030,2.6177,0,6.4423
1.180,0.030,2.7937,0,6.4336
1.190,0.030,2.9664,0,6.4252
1.200,0.030,3.0533,0,6.4170
0.400,0.040,1.6779,1,9.5302
0.410,0.040,2.2172,1,9.3869
0.420,0.040,2.8211,1,9.2517
0.430,0.040,1.6386,1,9.1241
0.440,0.040,1.0053,1,9.0034
0.450,0.040,1.5918,1,8.8893
0.460,0.040,1.7973,1,8.7811
0.470,0.040,1.5389,1,8.6785
0.480,0.040,1.9561,1,8.5812
0.490,0.040,1.8368,1,8.4887
0.500,0.040,1.8058,1,8.4009
0.510,0.040,2.4690,1,8.3172
0.520,0.040,2.6134,1,8.2376
0.530,0.040,2.1646,1,8.1618
0.540,0.040,1.7314,1,8.0894
0.550,0.040,1.5945,0,8.0204
0.560,0.040,2.3482,0,7.9545
0.570,0.040,3.3486,0,7.8915
0.580,0.040,4.0134,0,7.8312
0.590,0.040,3.2229,0,7.7736
0.600,0.040,2.3956,0,7.7184
0.610,0.040,1.9092,0,7.6656
0.620,0.040,1.8079,0,7.6150
0.630,0.040,1.7090,0,7.5664
0.640,0.040,1.6123,0,7.5198
0.650,0.040,1.5180,0,7.4750
0.660,0.040,1.5380,0,7.4321
0.670,0.040,1.6142,0,7.3908
0.680,0.040,2.2097,0,7.3511
0.690,0.040,2.9694,0,7.3129
0.700,0.040,2.9264,0,7.2761
0.710,0.040,3.5820,0,7.2407
0.720,0.040,4.0360,0,7.2066
0.730,0.040,4.1320,0,7.1738
0.740,0.040,4.1724,0,7.1421
0.750,0.040,4.0303,0,7.1116
0.760,0.040,3.8782,0,7.0821
0.770,0.040,3.9383,0,7.0537
0.780,0.040,3.9941,0,7.0262
0.790,0.040,3.8635,0,6.9997
0.800,0.040,3.8458,0,6.9740
0.810,0.040,3.8298,0,6.9492
0.820,0.040,3.7688,0,6.9253
0.830,0.040,3.7144,0,6.9021
0.840,0.040,3.8613,0,6.8796
0.850,0.040,4.0770,0,6.8579
0.860,0.040,4.0716,0,6.8369
0.870,0.040,4.0606,0,6.8165
0.880,0.040,4.0596,0,6.7968
0.890,0.040,3.7896,0,6.7777
0.900,0.040,3.5143,0,6.7591
0.910,0.040,3.2449,0,6.7411
0.920,0.040,2.9811,0,6.7237
0.930,0.040,2.8438,0,6.7067
0.940,0.040,2.8527,0,6.6903
0.950,0.040,2.9273,0,6.6743
0.960,0.040,3.1710,0,6.6588
0.970,0.040,3.0733,0,6.6438
0.980,0.040,3.1447,0,6.6291
0.990,0.040,3.2150,0,6.6149
1.000,0.040,3.1582,0,6.6011
1.010,0.040,3.3230,0,6.5876
1.020,0.040,3.5202,0,6.5746
1.030,0.040,3.4084,0,6.5618
1.040,0.040,3.0939,0,6.5495
1.050,0.040,3.0719,0,6.5374
1.060,0.040,2.6375,0,6.5257
1.070,0.040,2.2886,0,6.5142
1.080,0.040,2.1026,0,6.5031
1.090,0.040,2.1289,0,6.4923
1.100,0.040,2.1546,0,6.4817
1.110,0.040,2.1797,0,6.4714
1.120,0.040,2.2042,0,6.4614
1.130,0.040,2.2281,0,6.4516
1.140,0.040,2.3203,0,6.4420
1.150,0.040,2.5090,0,6.4327
1.160,0.040,2.6941,0,6.4236
1.170,0.040,2.7578,0,6.4148
1.180,0.040,2.8007,0,6.4061
1.190,0.040,2.8431,0,6.3976
1.200,0.040,2.8851,0,6.3894
0.400,0.050,1.8537,1,9.5117
0.410,0.050,2.1348,1,9.3681
0.420,0.050,2.6967,1,9.2327
0.430,0.050,1.5074,1,9.1048
0.440,0.050,1.0695,1,8.9839
0.450,0.050,1.7026,1,8.8694
0.460,0.050,1.6823,1,8.7610
0.470,0.050,1.6017,1,8.6582
0.480,0.050,2.2752,1,8.5607
0.490,0.050,1.9460,1,8.4680
0.500,0.050,1.8766,1,8.3799
0.510,0.050,2.5775,1,8.2961
0.520,0.050,2.7311,1,8.2162
0.530,0.050,2.0493,1,8.1402
0.540,0.050,1.4864,0,8.0676
0.550,0.050,1.6273,0,7.9984
0.560,0.050,2.6563,0,7.9323
0.570,0.050,3.6649,0,7.8691
0.580,0.050,3.7607,0,7.8087
0.590,0.050,3.0548,0,7.7509
0.600,0.050,2.0934,0,7.6956
0.610,0.050,1.9078,0,7.6426
0.620,0.050,1.8057,0,7.5918
0.630,0.050,1.7061,0,7.5431
0.640,0.050,1.6087,0,7.4963
0.650,0.050,1.5206,0,7.4515
0.660,0.050,1.6779,0,7.4084
0.670,0.050,1.9831,0,7.3669
0.680,0.050,2.3287,0,7.3271
0.690,0.050,2.8090,0,7.2888
0.700,0.050,3.3568,0,7.2519
0.710,0.050,4.0401,0,7.2164
0.720,0.050,4.1784,0,7.1822
0.730,0.050,4.1839,0,7.1492
0.740,0.050,4.1327,0,7.1174
0.750,0.050,4.0054,0,7.0868
0.760,0.050,3.8606,0,7.0572
0.770,0.050,3.7196,0,7.0287
0.780,0.050,3.5824,0,7.0011
0.790,0.050,3.8706,0,6.9745
0.800,0.050,4.1328,0,6.9487
0.810,0.050,4.0436,0,6.9239
0.820,0.050,3.8911,0,6.8998
0.830,0.050,3.7634,0,6.8765
0.840,0.050,3.8732,0,6.8540
0.850,0.050,3.8581,0,6.8322
0.860,0.050,3.8447,0,6.8111
0.870,0.050,3.8331,0,6.7907
0.880,0.050,3.8675,0,6.7708
0.890,0.050,3.5834,0,6.7516
0.900,0.050,3.3054,0,6.7330
0.910,0.050,3.0939,0,6.7150
0.920,0.050,2.9609,0,6.6974
0.930,0.050,2.7338,0,6.6804
0.940,0.050,2.5821,0,6.6639
0.950,0.050,2.5039,0,6.6479
0.960,0.050,2.4766,0,6.6324
0.970,0.050,2.6597,0,6.6172
0.980,0.050,2.6145,0,6.6025
0.990,0.050,2.6819,0,6.5883
1.000,0.050,2.7484,0,6.5744
1.010,0.050,2.9515,0,6.5609
1.020,0.050,3.4546,0,6.5477
1.030,0.050,4.0009,0,6.5350
1.040,0.050,3.6693,0,6.5225
1.050,0.050,3.2435,0,6.5104
1.060,0.050,2.9870,0,6.4987
1.070,0.050,2.7017,0,6.4872
1.080,0.050,2.6120,0,6.4760
1.090,0.050,2.5239,0,6.4651
1.100,0.050,2.4372,0,6.4545
1.110,0.050,2.3520,0,6.4442
1.120,0.050,2.3344,0,6.4341
1.130,0.050,2.3990,0,6.4242
1.140,0.050,2.4530,0,6.4146
1.150,0.050,2.4977,0,6.4053
1.160,0.050,2.5420,0,6.3962
1.170,0.050,2.5858,0,6.3873
1.180,0.050,2.6292,0,6.3786
1.190,0.050,2.6721,0,6.3701
1.200,0.050,2.7145,0,6.3618
0.400,0.060,1.9701,1,9.4933
0.410,0.060,2.1991,1,9.3494
0.420,0.060,2.5724,1,9.2137
0.430,0.060,1.4280,1,9.0856
0.440,0.060,1.1763,1,8.9644
0.450,0.060,1.8136,1,8.8497
0.460,0.060,1.6235,1,8.7410
0.470,0.060,1.8562,1,8.6380
0.480,0.060,2.3840,1,8.5402
0.490,0.060,2.0559,1,8.4473
0.500,0.060,1.9811,1,8.3590
0.510,0.060,2.3399,1,8.2749
0.520,0.060,2.6180,1,8.1949
0.530,0.060,1.9348,1,8.1186
0.540,0.060,1.4042,0,8.0459
0.550,0.060,1.9193,0,7.9765
0.560,0.060,2.9653,0,7.9102
0.570,0.060,3.9486,0,7.8469
0.580,0.060,3.4973,0,7.7863
0.590,0.060,2.6557,0,7.7283
0.600,0.060,2.0116,0,7.6728
0.610,0.060,1.9064,0,7.6197
0.620,0.060,1.8037,0,7.5687
0.630,0.060,1.7033,0,7.5198
0.640,0.060,1.6053,0,7.4730
0.650,0.060,1.8289,0,7.4279
0.660,0.060,2.2001,0,7.3847
0.670,0.060,2.5617,0,7.3431
0.680,0.060,2.9140,0,7.3032
0.690,0.060,3.3707,0,7.2647
0.700,0.060,3.7876,0,7.2277
0.710,0.060,3.9624,0,7.1921
0.720,0.060,4.1854,0,7.1578
0.730,0.060,4.0295,0,7.1247
0.740,0.060,3.7529,0,7.0928
0.750,0.060,3.6007,0,7.0620
0.760,0.060,3.4526,0,7.0324
0.770,0.060,3.3084,0,7.0037
0.780,0.060,3.4634,0,6.9761
0.790,0.060,3.6264,0,6.9493
0.800,0.060,3.8388,0,6.9235
0.810,0.060,4.0468,0,6.8985
0.820,0.060,4.2506,0,6.8744
0.830,0.060,4.1633,0,6.8510
0.840,0.060,3.8965,0,6.8284
0.850,0.060,3.6368,0,6.8066
0.860,0.060,3.6153,0,6.7854
0.870,0.060,3.6585,0,6.7648
0.880,0.060,3.6639,0,6.7449
0.890,0.060,3.3769,0,6.7257
0.900,0.060,3.2176,0,6.7070
0.910,0.060,3.0811,0,6.6888
0.920,0.060,2.8838,0,6.6713
0.930,0.060,2.6243,0,6.6542
0.940,0.060,2.5047,0,6.6376
0.950,0.060,2.4257,0,6.6215
0.960,0.060,2.3485,0,6.6059
0.970,0.060,2.5557,0,6.5907
0.980,0.060,2.2479,0,6.5760
0.990,0.060,2.1439,0,6.5616
1.000,0.060,2.2500,0,6.5477
1.010,0.060,2.4144,0,6.5341
1.020,0.060,2.8733,0,6.5210
1.030,0.060,3.4227,0,6.5081
1.040,0.060,3.8129,0,6.4956
1.050,0.060,3.5837,0,6.4835
1.060,0.060,3.3940,0,6.4717
1.070,0.060,3.2933,0,6.4601
1.080,0.060,3.2058,0,6.4489
1.090,0.060,3.1198,0,6.4380
1.100,0.060,3.0352,0,6.4273
1.110,0.060,2.8942,0,6.4169
1.120,0.060,2.6959,0,6.4068
1.130,0.060,2.5507,0,6.3969
1.140,0.060,2.4931,0,6.3873
1.150,0.060,2.4370,0,6.3779
1.160,0.060,2.3823,0,6.3687
1.170,0.060,2.4114,0,6.3598
1.180,0.060,2.4552,0,6.3511
1.190,0.060,2.4985,0,6.3425
1.200,0.060,2.5414,0,6.3342
0.400,0.070,1.7935,1,9.4749
0.410,0.070,2.3165,1,9.3308
0.420,0.070,2.4481,1,9.1948
0.430,0.070,1.4049,1,9.0664
0.440,0.070,1.2832,1,8.9449
0.450,0.070,1.9562,1,8.8300
0.460,0.070,1.8214,1,8.7211
0.470,0.070,2.1966,1,8.6178
0.480,0.070,2.4934,1,8.5198
0.490,0.070,2.1664,1,8.4267
0.500,0.070,1.8008,1,8.3381
0.510,0.070,1.9578,1,8.2539
0.520,0.070,2.2295,1,8.1736
0.530,0.070,1.8267,1,8.0972
0.540,0.070,1.5755,0,8.0242
0.550,0.070,2.2206,0,7.9546
0.560,0.070,3.2751,0,7.8882
0.570,0.070,3.8238,0,7.8246
0.580,0.070,3.2077,0,7.7639
0.590,0.070,2.3349,0,7.7058
0.600,0.070,2.1675,0,7.6501
0.610,0.070,1.9053,0,7.5968
0.620,0.070,1.8018,0,7.5457
0.630,0.070,1.8301,0,7.4967
0.640,0.070,2.0881,0,7.4496
0.650,0.070,2.3966,0,7.4044
0.660,0.070,2.7749,0,7.3611
0.670,0.070,3.1435,0,7.3194
0.680,0.070,3.4604,0,7.2793
0.690,0.070,3.7057,0,7.2407
0.700,0.070,4.1005,0,7.2036
0.710,0.070,4.0828,0,7.1678
0.720,0.070,3.9704,0,7.1334
0.730,0.070,3.5890,0,7.1002
0.740,0.070,3.3490,0,7.0682
0.750,0.070,3.1933,0,7.0373
0.760,0.070,3.0418,0,7.0076
0.770,0.070,3.1503,0,6.9788
0.780,0.070,3.3144,0,6.9510
0.790,0.070,3.3947,0,6.9242
0.800,0.070,3.5419,0,6.8983
0.810,0.070,3.7475,0,6.8732
0.820,0.070,3.8261,0,6.8490
0.830,0.070,3.7327,0,6.8256
0.840,0.070,3.8014,0,6.8029
0.850,0.070,3.7622,0,6.7809
0.860,0.070,3.5326,0,6.7596
0.870,0.070,3.5015,0,6.7390
0.880,0.070,3.4894,0,6.7191
0.890,0.070,3.3470,0,6.6997
0.900,0.070,3.2069,0,6.6810
0.910,0.070,3.0447,0,6.6628
0.920,0.070,2.7773,0,6.6451
0.930,0.070,2.5153,0,6.6280
0.940,0.070,2.4270,0,6.6113
0.950,0.070,2.3470,0,6.5952
0.960,0.070,2.2690,0,6.5795
0.970,0.070,2.2928,0,6.5643
0.980,0.070,2.4790,0,6.5494
0.990,0.070,2.1828,0,6.5350
1.000,0.070,2.2171,0,6.5211
1.010,0.070,2.2505,0,6.5074
1.020,0.070,2.3377,0,6.4942
1.030,0.070,2.8295,0,6.4813
1.040,0.070,3.3693,0,6.4688
1.050,0.070,3.4735,0,6.4566
1.060,0.070,3.5099,0,6.4447
1.070,0.070,3.4004,0,6.4331
1.080,0.070,3.1126,0,6.4218
1.090,0.070,3.0801,0,6.4109
1.100,0.070,3.0897,0,6.4002
1.110,0.070,3.1024,0,6.3897
1.120,0.070,2.9342,0,6.3796
1.130,0.070,2.8592,0,6.3696
1.140,0.070,2.8037,0,6.3600
1.150,0.070,2.7496,0,6.3505
1.160,0.070,2.6968,0,6.3413
1.170,0.070,2.6454,0,6.3324
1.180,0.070,2.5952,0,6.3236
1.190,0.070,2.5462,0,6.3150
1.200,0.070,2.4729,0,6.3067
0.400,0.080,1.6651,1,9.4566
0.410,0.080,2.4337,1,9.3122
0.420,0.080,2.3240,1,9.1759
0.430,0.080,1.3820,1,9.0472
0.440,0.080,1.3902,1,8.9255
0.450,0.080,2.2098,1,8.8103
0.460,0.080,2.0379,1,8.7012
0.470,0.080,2.5381,1,8.5977
0.480,0.080,2.6035,1,8.4994
0.490,0.080,1.8544,1,8.4061
0.500,0.080,1.5601,1,8.3173
0.510,0.080,1.5729,1,8.2328
0.520,0.080,1.8382,1,8.1524
0.530,0.080,1.9859,0,8.0757
0.540,0.080,1.7920,0,8.0026
0.550,0.080,2.5227,0,7.9328
0.560,0.080,3.5857,0,7.8662
0.570,0.080,3.5731,0,7.8025
0.580,0.080,2.9173,0,7.7415
0.590,0.080,2.1199,0,7.6832
0.600,0.080,2.3484,0,7.6274
0.610,0.080,1.9782,0,7.5739
0.620,0.080,2.0917,0,7.5227
0.630,0.080,2.3632,0,7.4735
0.640,0.080,2.6275,0,7.4263
0.650,0.080,2.9674,0,7.3810
0.660,0.080,3.3529,0,7.3375
0.670,0.080,3.5060,0,7.2957
0.680,0.080,3.4831,0,7.2554
0.690,0.080,3.4636,0,7.2167
0.700,0.080,3.8007,0,7.1795
0.710,0.080,4.4558,0,7.1436
0.720,0.080,3.9642,0,7.1091
0.730,0.080,3.5008,0,7.0758
0.740,0.080,3.2183,0,7.0436
0.750,0.080,2.9414,0,7.0127
0.760,0.080,2.9020,0,6.9828
0.770,0.080,3.2766,0,6.9539
0.780,0.080,3.3970,0,6.9261
0.790,0.080,3.5190,0,6.8992
0.800,0.080,3.6378,0,6.8731
0.810,0.080,3.6158,0,6.8480
0.820,0.080,3.3716,0,6.8237
0.830,0.080,3.2012,0,6.8001
0.840,0.080,3.1818,0,6.7774
0.850,0.080,3.1935,0,6.7553
0.860,0.080,3.3562,0,6.7340
0.870,0.080,3.6063,0,6.7133
0.880,0.080,3.5155,0,6.6932
