name,Z,A,category,atomic_u,m_obs,B,B_rel,m_pred,miss,miss_rel,B_per_A
184W,74,184,stable,183.95093,171311.39242641485,1472.8855735851394,0.008597709426813533,173315.72538550934,2004.3329590944923,0.011699939687055162,8.004812899919235
197Au,79,197,stable,196.966552,183432.81255827632,1559.345441723679,0.008500907879980727,185557.9577453147,2125.1451870383753,0.011585414612574944,7.9154590950440555
208Pb,82,208,stable,207.976652,193687.1227737065,1636.3712262935005,0.008448528755343987,195894.34881871816,2207.226045011659,0.011395832688322094,7.867169357180291
209Bi,83,209,primordial,208.980398,194621.59525361258,1640.170746387419,0.008427485882284043,196847.23129840972,2225.6360447971383,0.011435709597883516,7.847706920513967
232Th,90,232,primordial,232.038054,216096.0888305575,1766.6211694425147,0.00817516494168358,218473.379205816,2377.2903752584825,0.011001080066389045,7.614746420010839
235U,92,235,primordial,235.043929,218895.02166640677,1783.7973335932475,0.008149099600409057,221313.6653439725,2418.643677565735,0.011049331588964673,7.590626951460627
238U,92,238,primordial,238.050788,221695.8930904524,1801.620909547637,0.008126541653221207,224118.18597546953,2422.2928850171447,0.0109261964723399,7.569835754401836
244Pu,94,244,unstable,244.0642,227296.3289033484,1835.9890966516105,0.00807751319834257,229763.00951489763,2466.6806115492363,0.010852267713475151,7.524545478080371
248Cm,96,248,unstable,248.072349,231028.8740587856,1859.117941214441,0.008047123757965362,233538.05313531143,2509.1790765258484,0.010860889517590708,7.4964433113485525
252Cf,98,252,unstable,252.081627,234762.47087106397,1881.1951289360586,0.008013185080034563,237313.13744157038,2550.666570506408,0.010864882112726112,7.46506003546055
257Fm,100,257,unstable,257.095106,239431.4749920648,1907.4300079352397,0.007966496501758825,242023.07976972597,2591.6047776611813,0.010823993703196592,7.421906645662411
262Rf,104,262,unstable,262.10992,244100.70065969182,1930.8573403081973,0.007910085202910023,246769.18074635277,2668.480086660944,0.010931882126717665,7.36968450499312
269Sg,106,269,unstable,269.128495,250637.43987863648,1968.4871213635488,0.007853922870887639,253348.5729959634,2711.1331173269136,0.010816951843426494,7.317795990199066
278Nh,113,278,unstable,278.1706,259056.5303628012,1996.4306371988205,0.007706544337650462,261889.13185097513,2832.6014881739393,0.01093429871930641,7.1814051697799295
294Og,118,294,unstable,294.21392,273998.23332429986,2081.3026757001644,0.007596044143966317,276935.00492975,2936.771605450136,0.010718213653495425,7.079260801701239
~300_120,120,300,hypothetical,nan,nan,nan,nan,282579.5866204073,nan,nan,nan
~316_125,125,316,hypothetical,nan,nan,nan,nan,297625.827608096,nan,nan,nan
~330_130,130,330,hypothetical,nan,nan,nan,nan,310802.80366555846,nan,nan,nan
~342_135,135,342,hypothetical,nan,nan,nan,nan,322110.34097858105,nan,nan,nan
~348_137,137,348,hypothetical,nan,nan,nan,nan,327755.0238656755,nan,nan,nan
