name,Z,A,category,atomic_u,m_obs,B,B_rel,m_pred,miss,miss_rel,B_per_A
20Ne,10,20,stable,19.99244018,18617.730122257817,160.6398777421855,0.00862832776537768,18859.593715541752,241.8635932839352,0.012991035518061522,8.031993887109275
24Mg,12,24,stable,23.9850417,22335.792891774054,198.25110822594797,0.008875937791264216,22635.724880345868,299.93198857181414,0.013428311680051203,8.260462842747833
28Si,14,28,stable,27.97692653,26053.188068782325,236.52993121767577,0.009078732729108599,26411.910681426452,358.72261264412737,0.013768856682609184,8.44749754348842
32S,16,32,stable,31.97207117,29773.619739579237,271.7722604207629,0.009127954974835841,30188.130615692673,414.5108761134361,0.013922085380918955,8.49288313814884
40Ca,20,40,stable,39.96259086,37214.69770672911,342.04229327089706,0.00919105392085583,37740.6319004818,525.9341937526915,0.014132432242156647,8.551057331772427
48Ti,22,48,stable,47.94794198,44651.983179408206,418.69082059179345,0.009376757554295545,45250.67466370911,598.6914843009072,0.013407948352381377,8.722725428995696
52Cr,24,52,stable,51.94050623,48370.01123213925,456.3367678607465,0.00943429112866394,49026.66598683759,656.6547546983347,0.013575658511776884,8.775707074245124
56Fe,26,56,stable,55.93493633,52089.77731314053,492.2446868594707,0.009449928800814697,52802.70463991935,712.927326778823,0.013686511318584099,8.790083693919119
59Co,27,59,stable,58.933194,54882.12565002179,517.2983499782058,0.00942562526234806,55624.44024652361,742.3145965018193,0.013525616723293306,8.767768643698403
58Ni,28,58,stable,57.935343,53952.122329846985,506.44367015302123,0.00938690913875042,54711.9260343254,759.8037044784141,0.014082925224576036,8.7317874164314
63Cu,29,63,stable,62.929598,58603.73040723099,551.3675927690128,0.009408404361593008,59400.46006450514,796.729657274147,0.013595203782041838,8.751866551889092
64Zn,30,64,stable,63.929142,59534.28874892048,559.0812510795222,0.00939091173890374,60354.88840207068,820.5996531502024,0.013783647548238864,8.735644548117534
75As,33,75,stable,74.921595,69772.1608879327,652.5451120673097,0.00935251400792102,70687.89046170295,915.7295737702516,0.013124569486117633,8.700601494230796
80Se,34,80,stable,79.916522,74424.39492935325,696.8430706467625,0.009363100248355866,75378.34737140984,953.9524420565867,0.012817738632099304,8.71053838308453
85Rb,37,85,stable,84.91179,79075.92461226258,739.2593877374311,0.009348728976136329,80107.68213649443,1031.7575242318562,0.013047682076320078,8.69716926749919
89Y,39,89,stable,88.905842,82795.3384953439,775.519504656113,0.009366704922641573,83883.49149404977,1088.1529987058748,0.013142684340460405,8.713702299506888
93Nb,41,93,stable,92.906373,86520.78752871206,805.7444712879515,0.009312726967730892,87659.34503762017,1138.5575089081103,0.013159352121364803,8.663919046107004
98Mo,42,98,stable,97.905405,91176.84535342132,846.2186465786799,0.009281069588430616,92349.56258456758,1172.7172311462637,0.012862007087441512,8.63488414876204
107Ag,47,107,stable,106.905092,99557.44571876738,915.238281232625,0.009193067124462146,100854.94639405457,1297.500675287185,0.013032683451445717,8.553628796566588
113Cd,48,113,stable,112.904408,105145.26218980162,963.5188101983949,0.009163692116332464,106479.36563401976,1334.1034442181408,0.012688193613611435,8.52671513449907
120Sn,50,120,stable,119.902203,111662.64496130671,1020.5050386932999,0.009139180242837028,113057.99559608442,1395.3506347777147,0.012496127377792555,8.504208655777498
127I,53,127,stable,126.904472,118183.68423842415,1072.5417615758488,0.009075210072247363,119655.73427066093,1472.050032236788,0.012455611294593502,8.445210721069676
133Cs,55,133,stable,132.905452,123772.5397166441,1118.4902833559026,0.009036659390818783,125300.11711124712,1527.577394603024,0.012341811827568128,8.409701378615809
138Ba,56,138,stable,137.905247,128429.30827135319,1158.2537286468141,0.00901860910283489,129991.40973240278,1562.1014610495913,0.01216312290454052,8.393142961208799
140Ce,58,140,stable,139.905444,130291.45798169127,1172.648018308726,0.009000191082929689,131897.84026035367,1606.3822786623932,0.012329145007250776,8.376057273633757
159Tb,65,159,stable,158.925354,148004.81497426212,1301.975025737891,0.008796842359245563,149784.43466490222,1779.619690640102,0.012024066182911521,8.188522174452144
175Lu,71,175,stable,174.940777,162920.02104579724,1412.0509542027721,0.008667141982542715,164848.88064500876,1928.8595992115152,0.011839303646230856,8.068862595444411
181Ta,73,181,stable,180.947996,168514.68811571956,1452.187884280429,0.0086175745302582,170493.43412275662,1978.746007037058,0.011742276172853531,8.023137482212315
184W,74,184,stable,183.95093,171311.39242641485,1472.8855735851394,0.008597709426813533,173315.72538550934,2004.3329590944923,0.011699939687055162,8.004812899919235
197Au,79,197,stable,196.966552,183432.81255827632,1559.345441723679,0.008500907879980727,185557.9577453147,2125.1451870383753,0.011585414612574944,7.9154590950440555
208Pb,82,208,stable,207.976652,193687.1227737065,1636.3712262935005,0.008448528755343987,195894.34881871816,2207.226045011659,0.011395832688322094,7.867169357180291
209Bi,83,209,primordial,208.980398,194621.59525361258,1640.170746387419,0.008427485882284043,196847.23129840972,2225.6360447971383,0.011435709597883516,7.847706920513967
232Th,90,232,primordial,232.038054,216096.0888305575,1766.6211694425147,0.00817516494168358,218473.379205816,2377.2903752584825,0.011001080066389045,7.614746420010839
235U,92,235,primordial,235.043929,218895.02166640677,1783.7973335932475,0.008149099600409057,221313.6653439725,2418.643677565735,0.011049331588964673,7.590626951460627
238U,92,238,primordial,238.050788,221695.8930904524,1801.620909547637,0.008126541653221207,224118.18597546953,2422.2928850171447,0.0109261964723399,7.569835754401836
244Pu,94,244,unstable,244.0642,227296.3289033484,1835.9890966516105,0.00807751319834257,229763.00951489763,2466.6806115492363,0.010852267713475151,7.524545478080371
248Cm,96,248,unstable,248.072349,231028.8740587856,1859.117941214441,0.008047123757965362,233538.05313531143,2509.1790765258484,0.010860889517590708,7.4964433113485525
252Cf,98,252,unstable,252.081627,234762.47087106397,1881.1951289360586,0.008013185080034563,237313.13744157038,2550.666570506408,0.010864882112726112,7.46506003546055
257Fm,100,257,unstable,257.095106,239431.4749920648,1907.4300079352397,0.007966496501758825,242023.07976972597,2591.6047776611813,0.010823993703196592,7.421906645662411
262Rf,104,262,unstable,262.10992,244100.70065969182,1930.8573403081973,0.007910085202910023,246769.18074635277,2668.480086660944,0.010931882126717665,7.36968450499312
269Sg,106,269,unstable,269.128495,250637.43987863648,1968.4871213635488,0.007853922870887639,253348.5729959634,2711.1331173269136,0.010816951843426494,7.317795990199066
278Nh,113,278,unstable,278.1706,259056.5303628012,1996.4306371988205,0.007706544337650462,261889.13185097513,2832.6014881739393,0.01093429871930641,7.1814051697799295
294Og,118,294,unstable,294.21392,273998.23332429986,2081.3026757001644,0.007596044143966317,276935.00492975,2936.771605450136,0.010718213653495425,7.079260801701239
~300_120,120,300,hypothetical,nan,nan,nan,nan,282579.5866204073,nan,nan,nan
~316_125,125,316,hypothetical,nan,nan,nan,nan,297625.827608096,nan,nan,nan
~330_130,130,330,hypothetical,nan,nan,nan,nan,310802.80366555846,nan,nan,nan
~342_135,135,342,hypothetical,nan,nan,nan,nan,322110.34097858105,nan,nan,nan
~348_137,137,348,hypothetical,nan,nan,nan,nan,327755.0238656755,nan,nan,nan
