sheet,eps,s,fitness
p,0.550000,0.060000,9.1821
p,0.560000,0.060000,9.7292
p,0.580000,0.060000,11.1841
p,0.600000,0.060000,9.8671
p,0.620000,0.060000,7.8572
p,0.640000,0.060000,7.2341
p,0.660000,0.060000,6.9542
p,0.680000,0.060000,6.7103
p,0.700000,0.060000,6.6255
p,0.720000,0.060000,6.5442
p,0.730000,0.060000,6.5049
p,0.740000,0.060000,6.4692
p,0.760000,0.060000,6.8157
p,0.780000,0.060000,7.1432
p,0.800000,0.060000,7.0508
p,0.800000,0.060000,7.0508
p,0.820000,0.060000,6.6266
p,0.840000,0.060000,6.4488
p,0.860000,0.060000,6.6350
p,0.880000,0.060000,6.9178
p,0.890000,0.060000,7.0538
p,0.900000,0.060000,6.9529
p,0.920000,0.060000,6.6715
p,0.940000,0.060000,6.4037
p,0.960000,0.060000,6.1485
p,0.980000,0.060000,6.0204
p,1.000000,0.060000,6.0093
p,1.020000,0.060000,5.9985
p,1.040000,0.060000,5.9882
p,1.060000,0.060000,5.9782
p,1.080000,0.060000,5.9686
p,1.100000,0.060000,5.9593
p,1.120000,0.060000,5.9504
p,1.140000,0.060000,5.9418
p,1.160000,0.060000,5.9335
p,1.180000,0.060000,5.9255
p,1.200000,0.060000,5.9178
p,0.400000,0.080000,6.6761
p,0.420000,0.080000,6.8986
p,0.440000,0.080000,7.4563
p,0.460000,0.080000,8.0013
p,0.480000,0.080000,7.8946
p,0.500000,0.080000,7.7563
p,0.520000,0.080000,8.6469
p,0.540000,0.080000,9.6501
p,0.550000,0.080000,9.7330
p,0.560000,0.080000,10.2104
p,0.580000,0.080000,11.0966
p,0.600000,0.080000,8.9240
p,0.620000,0.080000,7.5236
p,0.640000,0.080000,7.1616
p,0.660000,0.080000,6.8770
p,0.680000,0.080000,6.7356
p,0.700000,0.080000,6.6507
p,0.720000,0.080000,6.5976
p,0.730000,0.080000,6.6927
p,0.740000,0.080000,6.8914
p,0.760000,0.080000,7.2726
p,0.780000,0.080000,7.2683
p,0.800000,0.080000,6.8368
p,0.800000,0.080000,6.8368
p,0.820000,0.080000,6.6867
p,0.840000,0.080000,6.9187
p,0.860000,0.080000,7.2450
p,0.880000,0.080000,7.1158
p,0.890000,0.080000,6.9726
p,0.900000,0.080000,6.8329
p,0.920000,0.080000,6.5638
p,0.940000,0.080000,6.3520
p,0.960000,0.080000,6.3642
p,0.980000,0.080000,6.3957
p,1.000000,0.080000,6.4258
p,1.020000,0.080000,6.4546
p,1.040000,0.080000,6.4821
p,1.060000,0.080000,6.5084
p,1.080000,0.080000,6.5336
p,1.100000,0.080000,6.5577
p,1.120000,0.080000,6.5808
p,1.140000,0.080000,6.6029
p,1.160000,0.080000,6.6241
p,1.180000,0.080000,6.6444
p,1.200000,0.080000,6.6639
p,0.400000,0.100000,6.6509
p,0.420000,0.100000,6.7898
p,0.440000,0.100000,7.1218
p,0.460000,0.100000,7.6512
p,0.480000,0.100000,8.1676
p,0.500000,0.100000,8.2838
p,0.520000,0.100000,8.8758
p,0.540000,0.100000,10.2811
p,0.550000,0.100000,10.4388
p,0.560000,0.100000,10.9600
p,0.580000,0.100000,10.6617
p,0.600000,0.100000,8.3717
p,0.620000,0.100000,7.6103
p,0.640000,0.100000,7.3511
p,0.660000,0.100000,7.1909
p,0.680000,0.100000,7.2091
p,0.700000,0.100000,7.2260
p,0.720000,0.100000,7.4687
p,0.730000,0.100000,7.7112
p,0.740000,0.100000,7.9472
p,0.760000,0.100000,8.1413
p,0.780000,0.100000,7.7379
p,0.800000,0.100000,7.6202
p,0.800000,0.100000,7.6202
p,0.820000,0.100000,7.9353
p,0.840000,0.100000,8.3048
p,0.860000,0.100000,8.0919
p,0.880000,0.100000,7.8360
p,0.890000,0.100000,7.7128
p,0.900000,0.100000,7.5928
p,0.920000,0.100000,7.5478
p,0.940000,0.100000,7.5956
p,0.960000,0.100000,7.6412
p,0.980000,0.100000,7.6848
p,1.000000,0.100000,7.7265
p,1.020000,0.100000,7.7664
p,1.040000,0.100000,7.8046
p,1.060000,0.100000,7.8411
p,1.080000,0.100000,7.8761
p,1.100000,0.100000,7.9096
p,1.120000,0.100000,7.9004
p,1.140000,0.100000,7.8825
p,1.160000,0.100000,7.8653
p,1.180000,0.100000,7.8488
p,1.200000,0.100000,7.8329
p,0.400000,0.120000,6.6253
p,0.420000,0.120000,6.7635
p,0.440000,0.120000,6.8987
p,0.460000,0.120000,7.3538
p,0.480000,0.120000,7.9279
p,0.500000,0.120000,8.9784
p,0.520000,0.120000,9.4998
p,0.540000,0.120000,11.4879
p,0.550000,0.120000,11.8830
p,0.560000,0.120000,12.2124
p,0.580000,0.120000,10.3785
p,0.600000,0.120000,8.6763
p,0.620000,0.120000,8.3819
p,0.640000,0.120000,8.2170
p,0.660000,0.120000,8.2163
p,0.680000,0.120000,8.2575
p,0.700000,0.120000,8.3633
p,0.720000,0.120000,8.8998
p,0.730000,0.120000,9.1574
p,0.740000,0.120000,9.3292
p,0.760000,0.120000,8.8390
p,0.780000,0.120000,8.5531
p,0.800000,0.120000,8.7624
p,0.800000,0.120000,8.7624
p,0.820000,0.120000,9.0204
p,0.840000,0.120000,8.5413
p,0.860000,0.120000,8.1067
p,0.880000,0.120000,7.6971
p,0.890000,0.120000,7.6508
p,0.900000,0.120000,7.6054
p,0.920000,0.120000,7.5177
p,0.940000,0.120000,7.4336
p,0.960000,0.120000,7.3531
p,0.980000,0.120000,7.2760
p,1.000000,0.120000,7.2022
p,1.020000,0.120000,7.1313
p,1.040000,0.120000,7.0634
p,1.060000,0.120000,6.9983
p,1.080000,0.120000,6.9358
p,1.100000,0.120000,6.8758
p,1.120000,0.120000,6.8182
p,1.140000,0.120000,6.7629
p,1.160000,0.120000,6.7097
p,1.180000,0.120000,6.6587
p,1.200000,0.120000,6.6095
p,0.400000,0.140000,6.6458
p,0.420000,0.140000,6.8775
p,0.440000,0.140000,7.1038
p,0.460000,0.140000,7.3897
p,0.480000,0.140000,8.0738
p,0.500000,0.140000,9.3979
p,0.520000,0.140000,10.8536
p,0.540000,0.140000,12.8677
p,0.550000,0.140000,14.0579
p,0.560000,0.140000,13.5030
p,0.580000,0.140000,10.4849
p,0.600000,0.140000,9.4245
p,0.620000,0.140000,9.0948
p,0.640000,0.140000,8.7973
p,0.660000,0.140000,8.5549
p,0.680000,0.140000,8.3104
p,0.700000,0.140000,8.4754
p,0.720000,0.140000,8.7610
p,0.730000,0.140000,8.5895
p,0.740000,0.140000,8.2449
p,0.760000,0.140000,7.7586
p,0.780000,0.140000,7.8330
p,0.800000,0.140000,8.0439
p,0.800000,0.140000,8.0439
p,0.820000,0.140000,7.4903
p,0.840000,0.140000,7.0270
p,0.860000,0.140000,6.7119
p,0.880000,0.140000,6.6626
p,0.890000,0.140000,6.6388
p,0.900000,0.140000,6.6154
p,0.920000,0.140000,6.5701
p,0.940000,0.140000,6.5268
p,0.960000,0.140000,6.4852
p,0.980000,0.140000,6.4453
p,1.000000,0.140000,6.4070
p,1.020000,0.140000,6.3703
p,1.040000,0.140000,6.3351
p,1.060000,0.140000,6.3013
p,1.080000,0.140000,6.2688
p,1.100000,0.140000,6.2376
p,1.120000,0.140000,6.2077
p,1.140000,0.140000,6.1789
p,1.160000,0.140000,6.1512
p,1.180000,0.140000,6.1245
p,1.200000,0.140000,6.0989
p,0.400000,0.160000,6.8434
p,0.420000,0.160000,7.2523
p,0.440000,0.160000,7.6713
p,0.460000,0.160000,8.0790
p,0.480000,0.160000,8.5696
p,0.500000,0.160000,9.9557
p,0.520000,0.160000,11.5796
p,0.540000,0.160000,13.9592
p,0.550000,0.160000,15.0255
p,0.560000,0.160000,13.7298
p,0.580000,0.160000,10.0626
p,0.600000,0.160000,8.9281
p,0.620000,0.160000,8.1908
p,0.640000,0.160000,7.8381
p,0.660000,0.160000,7.5568
p,0.680000,0.160000,7.5242
p,0.700000,0.160000,7.9222
p,0.720000,0.160000,7.7871
p,0.730000,0.160000,7.4669
p,0.740000,0.160000,7.2339
p,0.760000,0.160000,7.3024
p,0.780000,0.160000,7.6045
p,0.800000,0.160000,7.1510
p,0.800000,0.160000,7.1510
p,0.820000,0.160000,6.6463
p,0.840000,0.160000,6.3436
p,0.860000,0.160000,6.2862
p,0.880000,0.160000,6.2708
p,0.890000,0.160000,6.2651
p,0.900000,0.160000,6.2596
p,0.920000,0.160000,6.2488
p,0.940000,0.160000,6.2383
p,0.960000,0.160000,6.2283
p,0.980000,0.160000,6.2187
p,1.000000,0.160000,6.2094
p,1.020000,0.160000,6.2004
p,1.040000,0.160000,6.1918
p,1.060000,0.160000,6.1835
p,1.080000,0.160000,6.1755
p,1.100000,0.160000,6.1678
p,1.120000,0.160000,6.1604
p,1.140000,0.160000,6.1532
p,1.160000,0.160000,6.1463
p,1.180000,0.160000,6.1396
p,1.200000,0.160000,6.1332
p,0.400000,0.162000,6.8808
p,0.420000,0.162000,7.3141
p,0.440000,0.162000,7.7369
p,0.460000,0.162000,8.1482
p,0.480000,0.162000,8.6486
p,0.500000,0.162000,10.0117
p,0.520000,0.162000,11.5494
p,0.540000,0.162000,13.9281
p,0.550000,0.162000,14.9126
p,0.560000,0.162000,13.6162
p,0.580000,0.162000,9.9617
p,0.600000,0.162000,8.8704
p,0.620000,0.162000,8.0857
p,0.640000,0.162000,7.7402
p,0.660000,0.162000,7.4598
p,0.680000,0.162000,7.5199
p,0.700000,0.162000,7.9180
p,0.720000,0.162000,7.7135
p,0.730000,0.162000,7.3924
p,0.740000,0.162000,7.1930
p,0.760000,0.162000,7.2975
p,0.780000,0.162000,7.5997
p,0.800000,0.162000,7.0714
p,0.800000,0.162000,7.0714
p,0.820000,0.162000,6.5661
p,0.840000,0.162000,6.3012
p,0.860000,0.162000,6.2864
p,0.880000,0.162000,6.2748
p,0.890000,0.162000,6.2691
p,0.900000,0.162000,6.2636
p,0.920000,0.162000,6.2528
p,0.940000,0.162000,6.2424
p,0.960000,0.162000,6.2324
p,0.980000,0.162000,6.2228
p,1.000000,0.162000,6.2136
p,1.020000,0.162000,6.2047
p,1.040000,0.162000,6.1961
p,1.060000,0.162000,6.1878
p,1.080000,0.162000,6.1798
p,1.100000,0.162000,6.1722
p,1.120000,0.162000,6.1648
p,1.140000,0.162000,6.1577
p,1.160000,0.162000,6.1508
p,1.180000,0.162000,6.1442
p,1.200000,0.162000,6.1378
p,0.400000,0.180000,7.4044
p,0.420000,0.180000,7.8727
p,0.440000,0.180000,8.3297
p,0.460000,0.180000,8.7745
p,0.480000,0.180000,9.1241
p,0.500000,0.180000,9.7618
p,0.520000,0.180000,10.8961
p,0.540000,0.180000,13.0130
p,0.550000,0.180000,13.1990
p,0.560000,0.180000,12.1907
p,0.580000,0.180000,9.3262
p,0.600000,0.180000,8.5116
p,0.620000,0.180000,7.8698
p,0.640000,0.180000,7.4325
p,0.660000,0.180000,7.1340
p,0.680000,0.180000,7.4800
p,0.700000,0.180000,7.7318
p,0.720000,0.180000,7.0990
p,0.730000,0.180000,6.9902
p,0.740000,0.180000,7.0513
p,0.760000,0.180000,7.4370
p,0.780000,0.180000,7.1439
p,0.800000,0.180000,6.6558
