eps_e,s_e,fitness,n_ghosts,n_sub_electron
302.6458,1.9600,1.0000,12,1
309.9624,1.9600,1.0000,12,0
317.4559,1.9600,1.0000,12,0
325.1305,1.9600,1.0000,12,0
332.9906,1.9600,1.0000,12,0
341.0408,1.9600,1.0000,12,1
349.2856,1.9600,1.0000,12,0
357.7297,1.9600,1.0000,12,0
366.3780,1.9600,1.0000,12,1
375.2353,1.9600,1.0000,12,1
384.3068,1.9600,1.0000,12,1
393.5975,1.9600,1.0000,12,1
403.1129,1.9600,1.0000,12,1
412.8583,1.9600,1.0000,12,0
422.8393,1.9600,1.0000,12,0
433.0616,1.9600,1.0000,12,1
443.5310,1.9600,1.0000,12,1
454.2536,1.9600,1.0000,12,0
465.2353,1.9600,1.0000,12,1
476.4826,1.9600,1.0000,12,1
488.0017,1.9600,1.0000,12,1
499.7993,1.9600,1.0000,12,1
511.8822,1.9600,1.0000,12,0
524.2571,1.9600,1.0000,12,0
536.9313,1.9600,1.0000,12,0
549.9118,1.9600,1.0000,12,0
563.2061,1.9600,1.0000,12,0
576.8218,1.9600,1.0000,12,1
590.7667,1.9600,1.0000,12,1
605.0487,1.9600,1.0000,12,0
619.6760,1.9600,1.0000,12,0
634.6569,1.9600,1.0000,12,1
650.0000,1.9600,1.0000,12,1
250.0000,1.9620,1.6115,11,1
256.0438,1.9620,1.5986,11,0
262.2338,1.9620,1.5863,11,1
268.5734,1.9620,1.5745,11,1
275.0663,1.9620,1.5634,11,0
281.7161,1.9620,1.5527,11,0
288.5267,1.9620,1.5425,11,0
295.5019,1.9620,1.5328,11,0
302.6458,1.9620,1.5235,11,1
309.9624,1.9620,1.5147,11,1
317.4559,1.9620,1.5063,11,1
325.1305,1.9620,1.4982,11,1
332.9906,1.9620,1.4905,11,1
341.0408,1.9620,1.4832,11,0
349.2856,1.9620,1.4763,11,1
357.7297,1.9620,1.4696,11,1
366.3780,1.9620,1.4633,11,0
375.2353,1.9620,1.4572,11,0
384.3068,1.9620,1.4514,11,1
393.5975,1.9620,1.4459,11,1
403.1129,1.9620,1.4407,11,0
412.8583,1.9620,1.4357,11,1
422.8393,1.9620,1.4309,11,0
433.0616,1.9620,1.4264,11,1
443.5310,1.9620,1.4220,11,1
454.2536,1.9620,1.4179,11,0
465.2353,1.9620,1.4139,11,0
476.4826,1.9620,1.4102,11,0
488.0017,1.9620,1.4066,11,0
499.7993,1.9620,1.4032,11,0
511.8822,1.9620,1.3999,11,0
524.2571,1.9620,1.3968,11,0
536.9313,1.9620,1.3938,11,1
549.9118,1.9620,1.3910,11,0
563.2061,1.9620,1.3883,11,1
576.8218,1.9620,1.3857,11,1
590.7667,1.9620,1.3833,11,1
605.0487,1.9620,1.3809,11,0
619.6760,1.9620,1.3787,11,0
634.6569,1.9620,1.3766,11,1
650.0000,1.9620,1.3745,11,1
250.0000,1.9640,1.0000,11,0
256.0438,1.9640,1.0000,11,0
262.2338,1.9640,1.0000,11,1
268.5734,1.9640,1.0000,11,1
275.0663,1.9640,1.0000,11,0
281.7161,1.9640,1.0000,11,0
288.5267,1.9640,1.0000,11,1
295.5019,1.9640,1.0000,11,0
302.6458,1.9640,1.0000,11,0
309.9624,1.9640,1.0000,11,0
317.4559,1.9640,1.0000,11,0
325.1305,1.9640,1.0000,11,1
332.9906,1.9640,1.0000,11,0
341.0408,1.9640,1.0000,11,1
349.2856,1.9640,1.0000,11,1
357.7297,1.9640,1.0000,11,0
366.3780,1.9640,1.0000,11,1
375.2353,1.9640,1.0000,11,1
384.3068,1.9640,1.0000,11,0
393.5975,1.9640,1.0000,11,1
403.1129,1.9640,1.0000,11,0
412.8583,1.9640,1.0000,11,1
422.8393,1.9640,1.0000,11,0
433.0616,1.9640,1.0000,11,1
443.5310,1.9640,1.0000,11,0
454.2536,1.9640,1.0000,11,1
465.2353,1.9640,1.0000,11,0
476.4826,1.9640,1.0000,11,1
488.0017,1.9640,1.0000,11,0
499.7993,1.9640,1.0000,11,1
511.8822,1.9640,1.0000,11,0
524.2571,1.9640,1.0000,11,1
536.9313,1.9640,1.0000,11,1
549.9118,1.9640,1.0000,11,1
563.2061,1.9640,1.0000,11,1
576.8218,1.9640,1.0000,11,0
590.7667,1.9640,1.0000,11,0
605.0487,1.9640,1.0000,11,0
619.6760,1.9640,1.0000,11,0
634.6569,1.9640,1.0000,11,0
650.0000,1.9640,1.0000,11,1
250.0000,1.9660,1.6849,10,1
256.0438,1.9660,1.7007,10,0
262.2338,1.9660,1.7159,10,0
268.5734,1.9660,1.7303,10,0
275.0663,1.9660,1.7440,10,1
281.7161,1.9660,1.7571,10,0
288.5267,1.9660,1.7697,10,0
295.5019,1.9660,1.7816,10,1
302.6458,1.9660,1.7930,10,0
309.9624,1.9660,1.8039,10,0
317.4559,1.9660,1.8142,10,1
325.1305,1.9660,1.8241,10,0
332.9906,1.9660,1.8336,10,1
341.0408,1.9660,1.8426,10,1
349.2856,1.9660,1.8511,10,0
357.7297,1.9660,1.8593,10,1
366.3780,1.9660,1.8671,10,0
375.2353,1.9660,1.8746,10,1
384.3068,1.9660,1.8817,10,0
393.5975,1.9660,1.8885,10,1
403.1129,1.9660,1.8949,10,1
412.8583,1.9660,1.9011,10,0
422.8393,1.9660,1.9070,10,0
433.0616,1.9660,1.9126,10,1
443.5310,1.9660,1.9179,10,0
454.2536,1.9660,1.9230,10,0
465.2353,1.9660,1.9279,10,0
476.4826,1.9660,1.9325,10,1
488.0017,1.9660,1.9370,10,0
499.7993,1.9660,1.9412,10,1
511.8822,1.9660,1.9452,10,0
524.2571,1.9660,1.9490,10,0
536.9313,1.9660,1.9527,10,0
549.9118,1.9660,1.9562,10,0
563.2061,1.9660,1.9595,10,0
576.8218,1.9660,1.9627,10,0
590.7667,1.9660,1.9657,10,0
605.0487,1.9660,1.9686,10,0
619.6760,1.9660,1.9713,10,0
634.6569,1.9660,1.9739,10,1
650.0000,1.9660,1.9764,10,0
250.0000,1.9680,1.0000,10,0
256.0438,1.9680,1.0000,10,0
262.2338,1.9680,1.0000,10,0
268.5734,1.9680,1.0000,10,1
275.0663,1.9680,1.0000,10,1
281.7161,1.9680,1.0000,10,0
288.5267,1.9680,1.0000,10,1
295.5019,1.9680,1.0000,10,1
302.6458,1.9680,1.0000,10,0
309.9624,1.9680,1.0000,10,0
317.4559,1.9680,1.0000,10,1
325.1305,1.9680,1.0000,10,1
332.9906,1.9680,1.0000,10,0
341.0408,1.9680,1.0000,10,1
349.2856,1.9680,1.0000,10,1
357.7297,1.9680,1.0000,10,0
366.3780,1.9680,1.0000,10,1
375.2353,1.9680,1.0000,10,0
384.3068,1.9680,1.0000,10,0
393.5975,1.9680,1.0000,10,1
403.1129,1.9680,1.0000,10,0
412.8583,1.9680,1.0000,10,1
422.8393,1.9680,1.0000,10,1
433.0616,1.9680,1.0000,10,0
443.5310,1.9680,1.0000,10,1
454.2536,1.9680,1.0000,10,1
465.2353,1.9680,1.0000,10,1
476.4826,1.9680,1.0000,10,0
488.0017,1.9680,1.0000,10,1
499.7993,1.9680,1.0000,10,0
511.8822,1.9680,1.0000,10,0
524.2571,1.9680,1.0000,10,1
536.9313,1.9680,1.0000,10,1
549.9118,1.9680,1.0000,10,1
563.2061,1.9680,1.0000,10,1
576.8218,1.9680,1.0000,10,0
590.7667,1.9680,1.0000,10,1
605.0487,1.9680,1.0000,10,0
619.6760,1.9680,1.0000,10,0
634.6569,1.9680,1.0000,10,1
650.0000,1.9680,1.0000,10,1
250.0000,1.9700,1.0000,9,0
256.0438,1.9700,1.0000,9,1
262.2338,1.9700,1.0000,9,1
268.5734,1.9700,1.0000,9,0
275.0663,1.9700,1.0000,9,0
281.7161,1.9700,1.0000,9,0
288.5267,1.9700,1.0000,9,0
295.5019,1.9700,1.0000,9,1
302.6458,1.9700,1.0000,9,1
309.9624,1.9700,1.0000,9,1
317.4559,1.9700,1.0000,9,1
325.1305,1.9700,1.0000,9,1
332.9906,1.9700,1.0000,9,1
341.0408,1.9700,1.0000,9,0
349.2856,1.9700,1.0000,9,0
357.7297,1.9700,1.0000,9,1
366.3780,1.9700,1.0000,9,0
375.2353,1.9700,1.0000,9,0
384.3068,1.9700,1.0000,9,1
393.5975,1.9700,1.0000,9,0
403.1129,1.9700,1.0000,9,0
412.8583,1.9700,1.0000,9,1
422.8393,1.9700,1.0000,9,0
433.0616,1.9700,1.0000,9,1
443.5310,1.9700,1.0000,9,0
454.2536,1.9700,1.0000,9,0
