rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
1,357.7297,2.0040,2.671,"(+0,-6)","(+0,-1)",6,628.279,ring-only
1,357.7297,2.0040,2.671,"(-3,+0)","(-1,+0)",3,629.536,tube-only
1,357.7297,2.0040,2.671,"(-4,-2)","(-2,-1)",2,629.955,dark-massive
1,357.7297,2.0040,2.671,"(-4,-15)","(-4,-15)",1,731.317,dark-massive
1,357.7297,2.0040,2.671,"(-3,-13)","(-3,-13)",1,731.736,dark-massive
1,357.7297,2.0040,2.671,"(-2,-11)","(-2,-11)",1,732.154,dark-massive
1,357.7297,2.0040,2.671,"(+0,-7)","(+0,-1)",7,732.992,ring-only
1,357.7297,2.0040,2.671,"(-2,+3)","(-2,+3)",1,733.830,dark-massive
1,357.7297,2.0040,2.671,"(-3,+1)","(-3,+1)",1,734.249,dark-massive
1,357.7297,2.0040,2.671,"(-4,-1)","(-4,-1)",1,734.668,dark-massive
1,357.7297,2.0040,2.671,"(-3,-14)","(-3,-14)",1,836.449,dark-massive
1,357.7297,2.0040,2.671,"(+0,-8)","(+0,-1)",8,837.705,ring-only
1,357.7297,2.0040,2.671,"(-3,+2)","(-3,+2)",1,838.962,dark-massive
1,357.7297,2.0040,2.671,"(-4,+0)","(-1,+0)",4,839.381,tube-only
1,357.7297,2.0040,2.671,"(-4,-17)","(-4,-17)",1,940.743,dark-massive
1,357.7297,2.0040,2.671,"(-2,-13)","(-2,-13)",1,941.581,dark-massive
1,357.7297,2.0040,2.671,"(+0,-9)","(+0,-1)",9,942.418,ring-only
1,357.7297,2.0040,2.671,"(-2,+5)","(-2,+5)",1,943.256,dark-massive
1,357.7297,2.0040,2.671,"(-4,+1)","(-4,+1)",1,944.094,dark-massive
1,357.7297,2.0040,2.671,"(-4,-18)","(-2,-9)",2,1045.456,dark-massive
1,357.7297,2.0040,2.671,"(-3,-16)","(-3,-16)",1,1045.875,dark-massive
1,357.7297,2.0040,2.671,"(+0,-10)","(+0,-1)",10,1047.131,ring-only
1,357.7297,2.0040,2.671,"(-3,+4)","(-3,+4)",1,1048.388,dark-massive
1,357.7297,2.0040,2.671,"(-4,+2)","(-2,+1)",2,1048.807,dark-massive
1,357.7297,2.0040,2.671,"(-4,-19)","(-4,-19)",1,1150.170,dark-massive
1,357.7297,2.0040,2.671,"(-3,-17)","(-3,-17)",1,1150.588,dark-massive
1,357.7297,2.0040,2.671,"(-2,-15)","(-2,-15)",1,1151.007,dark-massive
1,357.7297,2.0040,2.671,"(+0,-11)","(+0,-1)",11,1151.844,ring-only
1,357.7297,2.0040,2.671,"(-2,+7)","(-2,+7)",1,1152.682,dark-massive
1,357.7297,2.0040,2.671,"(-3,+5)","(-3,+5)",1,1153.101,dark-massive
1,357.7297,2.0040,2.671,"(-4,+3)","(-4,+3)",1,1153.520,dark-massive
1,357.7297,2.0040,2.671,"(+0,-12)","(+0,-1)",12,1256.557,ring-only
1,357.7297,2.0040,2.671,"(-4,-21)","(-4,-21)",1,1359.596,dark-massive
1,357.7297,2.0040,2.671,"(-3,-19)","(-3,-19)",1,1360.014,dark-massive
1,357.7297,2.0040,2.671,"(-2,-17)","(-2,-17)",1,1360.433,dark-massive
1,357.7297,2.0040,2.671,"(+0,-13)","(+0,-1)",13,1361.271,ring-only
1,357.7297,2.0040,2.671,"(-2,+9)","(-2,+9)",1,1362.108,dark-massive
1,357.7297,2.0040,2.671,"(-3,+7)","(-3,+7)",1,1362.527,dark-massive
1,357.7297,2.0040,2.671,"(-4,+5)","(-4,+5)",1,1362.947,dark-massive
