name,Z,A,B_obs,B_pred,B_per_A_obs,B_per_A_pred,rel_err
60Ni,28,60,526.8462951041874,517.1329742631933,8.780771585069791,8.618882904386556,-0.018436726102578464
63Cu,29,63,551.3846800269166,541.9679650448306,8.752137778205025,8.602666111822709,-0.017078303629375933
64Zn,30,64,559.0981558943386,551.9099241344593,8.73590868584904,8.623592564600926,-0.012856833248503405
70Ge,32,70,610.5194405059374,601.5453789068852,8.721706292941963,8.593505412955503,-0.014699059528088764
75As,33,75,652.5660506127024,639.8937472815305,8.700880674836032,8.531916630420406,-0.019419188784451286
80Se,34,80,696.8655630406429,676.9000680428289,8.710819538008035,8.461250850535361,-0.028650425644077226
84Kr,36,84,732.2660601957905,712.2776594907918,8.717453097568935,8.47949594631895,-0.02729663682576551
88Sr,38,88,768.4689463707618,747.5874861279881,8.732601663304111,8.495312342363501,-0.027172809443231704
89Y,39,89,775.5455131456401,758.6603006681107,8.713994529726294,8.524273041214727,-0.02177204585845955
90Zr,40,90,783.893206087625,769.4863187055889,8.709924512084722,8.549847985617655,-0.01837863534235765
93Nb,41,93,805.7650680479273,793.8009879773163,8.66414051664438,8.535494494379744,-0.01484809970677391
98Mo,42,98,846.246022867359,830.9906027392572,8.63516349864652,8.47949594631895,-0.018027169068885508
103Rh,45,103,884.1688165169035,877.4122796732845,8.584163267154402,8.518565822070723,-0.007641681902145877
108Pd,46,108,925.2388668365602,914.335156799556,8.567026544782964,8.466066266662555,-0.011784751406179633
107Ag,47,107,915.2666772083612,912.5778625984822,8.553894179517394,8.528765071013853,-0.0029377389965514226
114Cd,48,114,972.5931084728945,962.1660268490959,8.531518495376268,8.440052867097332,-0.010720908397315855
115In,49,115,979.4043205228081,973.6932288287935,8.516559308893983,8.466897641989508,-0.005831188993495577
120Sn,50,120,1020.5401063812897,1009.8274007174768,8.504500886510748,8.415228339312307,-0.010497094231601299
130Te,52,130,1095.942970996155,1080.1301994729438,8.430330546124269,8.308693842099567,-0.01442846201097333
127I,53,127,1072.5775897353597,1069.2164748216164,8.445492832561888,8.41902736080013,-0.003133679974212887
132Xe,54,132,1112.4469534719829,1104.734165056041,8.42762843539381,8.369198220121524,-0.0069331741094439585
133Cs,55,133,1118.5279114053556,1116.7580872029648,8.409984296280868,8.396677347390712,-0.0015822798737020975
138Ba,56,138,1158.2930875265884,1152.0157486969838,8.393428170482524,8.347940207949158,-0.00541947361786398
139La,57,139,1164.5420590512513,1164.1783656295738,8.378000424829146,8.375383925392617,-0.0003123059565351837
140Ce,58,140,1172.6883909130847,1176.166857654549,8.376345649379177,8.401191840389636,0.002966232776258487
141Pr,59,141,1177.9145819132973,1187.9849123779277,8.354004127044663,8.425424910481757,0.008549287545343958
142Nd,60,142,1185.1370579244103,1199.6361146581185,8.346035619185988,8.448141652521961,0.012234075912790248
152Sm,62,152,1253.0976758884499,1270.9579478800006,8.244063657160854,8.36156544657895,0.01425289690916369
153Eu,63,153,1258.9910029647872,1283.0426874645636,8.228699365782923,8.385899918069043,0.019103936758195533
158Gd,64,158,1295.8878665562079,1318.210034873715,8.201821940229165,8.3431014865425,0.017225385693924018
159Tb,65,159,1302.0195629733498,1330.4139103007037,8.188802282851256,8.367383083652225,0.021807926804503077
164Dy,66,164,1338.0288058345614,1365.380487088114,8.158712230698544,8.325490774927525,0.02044177310255496
165Ho,67,165,1344.2494599385245,1377.69532096904,8.146966423869845,8.349668611933575,0.024880695159100207
166Er,68,166,1351.5657374057337,1389.8614831792074,8.141962273528517,8.372659537224141,0.028334356749069877
169Tm,69,169,1371.3473918048257,1413.526208780706,8.114481608312579,8.364060406986425,0.030757208004288966
174Yb,70,174,1406.591598559724,1448.4693747203564,8.083859761837493,8.324536636323888,0.029772519758765187
175Lu,71,175,1412.1006843187497,1460.7942996665079,8.069146767535713,8.347395998094331,0.03448310441917943
180Hf,72,180,1446.2888562097796,1495.5648915779311,8.03493809005433,8.308693842099617,0.03407067347340756
181Ta,73,181,1452.2331360135286,1507.987360916566,8.023387491787451,8.33142188351694,0.038392062211227596
184W,74,184,1472.9374353210442,1531.5580504777608,8.005094757179588,8.323685056944353,0.03979844204580191
187Re,75,187,1491.8799998326576,1555.1126188109047,7.9779679135436234,8.316110261020881,0.042384520863165784
192Os,76,192,1526.1162368193618,1589.576121090009,7.948522066767509,8.279042297343798,0.04158260212400762
193Ir,77,193,1532.0630316571915,1602.1764005935984,7.938150423094256,8.30143212742797,0.045764023729863886
195Pt,78,195,1545.68134732623,1620.1952992094448,7.926571011929385,8.308693842099716,0.04820783534207191
197Au,79,197,1559.386385096208,1638.1999346945959,7.915666929422375,8.315735709109624,0.05054138624759471
202Hg,80,202,1595.165083167085,1672.6687955159287,7.896856847361807,8.280538591663014,0.04858664044662116
205Tl,81,205,1615.0723029711808,1696.1411393183807,7.878401477908199,8.273859216187223,0.05019517466683135
208Pb,82,208,1636.4308837362332,1719.6018288524065,7.867456171808813,8.267316484867338,0.05082460001383052
209Bi,83,209,1640.229932622111,1732.2742172851576,7.847990108239765,8.28839338413951,0.056116696099980636
232Th,90,232,1766.6870390371187,1906.9220718645665,7.615030340677236,8.219491689071408,0.07937740512540291
235U,92,235,1783.8646370101196,1938.0083294784708,7.590913348979233,8.246843955227536,0.08640997151370561
238U,92,238,1801.6900694178476,1953.664743624715,7.570126342091797,8.208675393381155,0.08435117492542576
