name,Z,A,m_obs,m_Ma,E_Coul,E_Surf,m_total,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred,rel_err
140Ce,58,140,130291.4572050069,128799.10896142782,452.0486598459902,494.4829882588909,129745.6406095327,1172.6883909130847,1718.5049863872846,1.4654404355868256,8.376345649379177,12.275035617052033,0.4654404355868257
141Pr,59,141,131224.5031021667,129718.03886412784,466.8012206681477,496.8348748259355,130681.67495962192,1177.9145819132973,1720.7427244580758,1.4608382907214357,8.354004127044663,12.203849109631744,0.46083829072143573
142Nd,60,142,132155.5527143156,130636.98287371255,481.7615801338958,499.1812078901496,131617.9256617366,1185.1370579244103,1722.7641105033981,1.4536412467943252,8.346035619185988,12.132141623263367,0.4536412467943251
152Sm,62,152,141480.65963683155,139840.82694621698,503.1513905123898,522.3501494490501,140866.32848617842,1253.0976758884499,1867.4288265415817,1.4902500120092947,8.244063657160854,12.285715964089354,0.49025001200929463
153Eu,63,153,142413.0383979152,140759.73429943173,518.5135508407193,524.6386541218908,141802.88650439435,1258.9910029647872,1869.1428964856314,1.4846356265326779,8.228699365782923,12.21662023846818,0.4846356265326779
158Gd,64,158,147072.67530456377,145361.6980695682,529.5331784966713,536.0073224043476,146427.23857046923,1295.8878665562079,1941.3246006507543,1.4980652653302324,8.201821940229165,12.286864561080723,0.4980652653302323
159Tb,65,159,148004.81569630664,146280.59534841496,545.1959712119142,538.266577672066,147364.05789729895,1302.0195629733498,1942.7773619810469,1.4921260918264807,8.188802282851256,12.218725547050608,0.4921260918264807
164Dy,66,164,152665.34022368543,150882.57609654978,556.460521241528,549.4926614036632,151988.52927919498,1338.0288058345614,2014.8397503250162,1.505826886191969,8.158712230698544,12.285608233689123,0.505826886191969
165Ho,67,165,153597.39165774148,151801.46399202853,572.421282316241,551.7241075089266,152925.6093818537,1344.2494599385245,2016.0317358263128,1.4997452451411142,8.146966423869845,12.218374156523108,0.4997452451411142
166Er,68,166,154528.34746843425,152720.36446004442,588.580723882687,553.9510501605705,153862.89623408768,1351.5657374057337,2017.0169717523095,1.4923558032951307,8.141962273528517,12.150704649110297,0.4923558032951308
