sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.3175,0,0.5620348474514463,0.5620348474514457,0.16351132690735493,0.1785710133732728,0.6838330291978845,0.6540453076294197,0.7142840534930912,2.2481393898057838,8.992557559223135,5.078813592385326,5.078813592385326
-0.315,0,0.5612089822860113,0.561208982286011,0.16962782715192384,0.1849949329921875,0.7089124072837393,0.6785113086076954,0.73997973196875,2.244835929144045,8.97934371657618,5.071410890327768,5.071410890327768
-0.3125,0,0.5603600738825579,0.5603600738825579,0.17603686608372118,0.19172146174504753,0.7351820357551256,0.7041474643348847,0.7668858469801901,2.2414402955302317,8.965761182120927,5.063801592678778,5.063801592678778
-0.31,0,0.5594872292392189,0.5594872292392187,0.18275573848230497,0.19876835765265952,0.7627120182401996,0.7310229539292199,0.7950734306106381,2.237948916956875,8.9517956678275,5.055977690932243,5.055977690932243
-0.3075,0,0.5585895104553281,0.5585895104553277,0.18980296912173594,0.20615463643638393,0.7915774336448206,0.7592118764869438,0.8246185457455357,2.2343580418213116,8.937432167285248,5.047930773790713,5.047930773790713
-0.305,0,0.5576659319306131,0.5576659319306129,0.1971984157904395,0.21390067658836284,0.8218587523247531,0.788793663161758,0.8556027063534514,2.2306637277224515,8.92265491088981,5.039652002029175,5.039652002029175
-0.3025,0,0.5567154573544347,0.5567154573544344,0.20496338230252029,0.22202833461469199,0.8536422925859813,0.8198535292100811,0.8881133384587679,2.2268618294177385,8.907447317670956,5.031132081473764,5.031132081473764
-0.3,0,0.5557369964665965,0.5557369964665965,0.21312074260731723,0.23056107157708292,0.8870207219777351,0.8524829704292689,0.9222442863083317,2.222947985866386,8.891791943465543,5.022361233929368,5.022361233929368
-0.2975,0,0.5547294015693941,0.5547294015693935,0.22169507724245907,0.23952409219924872,0.9220936084011377,0.8867803089698363,0.9580963687969949,2.218917606277575,8.8756704251103,5.013329165873493,5.013329165873493
-0.295,0,0.5536914637684835,0.5536914637684833,0.2307128235334975,0.24894449796459442,0.9589680266927105,0.92285129413399,0.9957779918583777,2.2147658550739338,8.859063420295735,5.004025034714981,5.004025034714981
