name,Z,A,atomic_u,m_obs_MeV,m_pred_MeV,delta_m,delta_m_over_m,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred
31P,15,31,30.97376199842,28844.21164703894,29072.683599783893,228.47195274495243,0.007920894338896126,262.916403681058,34.44445093610557,8.481174312292193,1.1111113205195344
32S,16,32,31.97207117,29773.61975380751,30009.80672629427,236.18697248676108,0.00793275975308837,271.78038507248857,35.59341258572749,8.493137033515268,1.1122941433039841
35Cl,17,35,34.96885268,32564.59305766381,32823.90533773731,259.31228007350364,0.007963013068037606,298.2100104161909,38.89773034268728,8.52028601189117,1.1113637240767795
40Ar,18,40,39.9623831237,37215.52621727509,37515.29328394122,299.7670666661288,0.008054892598212942,343.8106210449114,44.043554378782574,8.595265526122784,1.1010888594695643
39K,19,39,38.963706487,36284.7538210144,36575.12791728156,290.37409626716544,0.00800264754997441,333.7242644256039,43.350168158438464,8.55703242116933,1.1115427732932939
40Ca,20,40,39.96259086,37214.6977245134,37512.25840786784,297.56068335444434,0.007995783965710958,342.052449086601,44.49176573215664,8.551311227165025,1.112294143303916
45Sc,21,45,44.95590828,41865.432453804446,42203.455585892436,338.02313208799023,0.008074038945160185,387.85149003555125,49.82835794756102,8.618922000790027,1.1072968432791337
48Ti,22,48,47.94794198,44651.98320064634,45017.67077987578,365.6875792294377,0.008189727600366568,418.7036723936617,53.016093164224,8.722993174867952,1.1045019409213335
51V,23,51,50.94395704,47442.24256084784,47831.912155607955,389.66959476011834,0.00821355765930207,445.8472413921627,56.17764663204434,8.742102772395347,1.1015224829812615
52Cr,24,52,51.94050623,48370.01125515426,48768.86808716827,398.85683201401116,0.008245952846899728,456.3506352457407,57.493803231729544,8.775973754725783,1.1056500621486451
55Mn,25,55,54.93804451,51161.68948580246,51583.09832511937,421.4088393169077,0.008236804600322084,482.07533379753295,60.66649448062526,8.765006069046054,1.1030271723750047
56Fe,26,56,55.93493633,52089.77733793319,52520.06947043321,430.29213250002067,0.008260586903808287,492.2595698268051,61.96743732678442,8.790349461192948,1.106561380835436
59Co,27,59,58.93319429,54882.12594625702,55334.28987339806,452.1639271410386,0.008238819457974665,517.3138907029715,65.14996356193296,8.768032045813078,1.1042366705412368
60Ni,28,60,59.93078588,55810.86563001581,56271.27411452326,460.4084845074467,0.00824944174060316,526.8462951041874,66.43781059674075,8.780771585069791,1.1072968432790125
63Cu,29,63,62.92959772,58603.73017429308,59085.48577599007,481.7556016969902,0.008220562074533535,551.3846800269166,69.62907832992641,8.752137778205025,1.1052234655543876
64Zn,30,64,63.92914201,59534.28878658566,60022.48140806636,488.1926214806954,0.008200192383766168,559.0981558943386,70.90553441364318,8.73590868584904,1.1078989752131747
70Ge,32,70,69.92424875,65117.673360374065,65650.90914653595,533.2357861618875,0.008188802803362696,610.5194405059374,77.28365434404986,8.721706292941963,1.1040522049149981
75As,33,75,74.92159457,69772.1605205073,70342.51328075111,570.3527602438116,0.008174503354761024,652.5660506127024,82.21329036889074,8.700880674836032,1.0961772049185432
80Se,34,80,79.9165218,74424.39477831936,75034.28907517958,609.8942968602205,0.008194817017684226,696.8655630406429,86.97126618042239,8.710819538008035,1.0871408272552798
84Kr,36,84,83.91149773,78144.66929852421,78785.41954385141,640.7502453272027,0.008199538766738419,732.2660601957905,91.51581486858777,8.717453097568935,1.0894739865308067
88Sr,38,88,87.90561226,81864.14142970924,82536.55868159838,672.4172518891428,0.008213819141638446,768.4689463707618,96.05169448161905,8.732601663304111,1.0914965282002165
89Y,39,89,88.9058403,82795.33695109436,83473.40968042724,678.0727293328819,0.008189745392707401,775.5455131456401,97.47278381275828,8.713994529726294,1.0951998181208795
90Zr,40,90,89.90470373,83725.26134631237,84410.29224764691,685.0309013345395,0.008181890272053613,783.893206087625,98.86230475308548,8.709924512084722,1.098470052812061
93Nb,41,93,92.9063782,86520.79241355207,87224.57045415723,703.7780406051606,0.008134207061364423,805.7650680479273,101.9870274427667,8.66414051664438,1.0966347036856634
98Mo,42,98,97.90540482,91176.84522897264,91916.32280115999,739.4775721873448,0.008110365853636337,846.246022867359,106.76845068001421,8.63516349864652,1.0894739865307572
103Rh,45,103,102.905498,95832.8695408431,96604.307944345,771.4384035019029,0.00804983099429286,884.1688165169035,112.73041301500052,8.584163267154402,1.0944700292718497
108Pd,46,108,107.9038922,100488.33326076344,101296.09441252924,807.7611517658079,0.008038357544150903,925.2388668365602,117.47771507075231,8.567026544782964,1.0877566210254843
107Ag,47,107,106.905093,99557.44669751162,100355.46553363981,798.0188361281907,0.008015661937904407,915.2666772083612,117.24784108017047,8.553894179517394,1.0957742157025279
