config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-0.01,0.17958553664475743,298.00661935539097,8.018265692851333,306.0248850482423
pp (two protons),-0.01,0.1844289720880677,283.57002978722926,7.807691660957417,291.37772144818666
pp (two protons),-0.01,0.18940303534991942,269.7920841481398,7.602647680649047,277.39473182878885
pp (two protons),-0.01,0.194511249472413,256.64613485960876,7.402988522857546,264.0491233824663
pp (two protons),-0.01,0.1997572325143594,244.1063471943337,7.208572772489945,251.31491996682365
pp (two protons),-0.01,0.20514470011388813,232.14769339382497,7.0192627282671385,239.1669561220921
pp (two protons),-0.01,0.21067746812016877,220.74594556722536,6.834924305192475,227.58086987241785
pp (two protons),-0.01,0.2163594552961103,209.87766740881239,6.655426939581697,216.5330943483941
pp (two protons),-0.01,0.22219468609395232,199.5202047819796,6.480643496586966,206.00084827856656
pp (two protons),-0.01,0.22818729350571443,189.65167522632805,6.310450180149465,195.96212540647753
pp (two protons),-0.01,0.23434152199052194,180.2509564519171,6.144726445316825,186.3956828972339
pp (two protons),-0.01,0.24066173048088252,171.2976738906973,5.983354912863227,177.28102880356053
pp (two protons),-0.01,0.2471523954700416,162.77218737976227,5.82622128615176,168.59840866591404
pp (two protons),-0.01,0.2538181141826046,154.65557705439437,5.6732142701801,160.32879132457447
pp (two protons),-0.01,0.26066360783067044,146.92962853099039,5.52422549275221,152.4538540237426
pp (two protons),-0.01,0.267693724957784,139.57681746098524,5.379149427720208,144.95596688870546
pp (two protons),-0.01,0.27491344487307445,132.5802935369054,5.237883320242033,137.81817685714742
pp (two protons),-0.01,0.282327881178013,125.92386403082628,5.100327114001999,131.02419114482828
pp (two protons),-0.01,0.28994228538828765,119.59197694385648,4.96638338034264,124.55836032419911
pp (two protons),-0.01,0.2977620506533597,113.56970384296119,4.835957249257704,118.40566109221889
pp (two protons),-0.01,0.30579271557633764,107.84272245856505,4.708956342197379,112.55167880076243
pp (two protons),-0.01,0.31403996813687257,102.3972991130347,4.585290706638188,106.9825898196729
pp (two protons),-0.01,0.3225096497198551,97.22027104644712,4.464872752371179,101.6851437988183
pp (two protons),-0.01,0.33120775925276624,92.29902870206456,4.347617189463317,96.64664589152788
pp (two protons),-0.01,0.3401404574546124,87.62149802977797,4.2334409678481135,91.85493899762608
pp (two protons),-0.01,0.3493140711994558,83.17612286147278,4.122263218502713,87.29838607997549
pp (two protons),-0.01,0.3587350979976282,78.95184740793388,4.014005196169778,82.96585260410366
pp (two protons),-0.01,0.36841021059780427,74.9380989225433,3.908590223583604,78.8466891461269
pp (two protons),-0.01,0.3783462617131929,71.1247705727319,3.80594363716094,74.93071420989284
pp (two protons),-0.01,0.3885502888751937,67.50220455593103,3.705992734118094,71.20819729004913
pp (two protons),-0.01,0.3990295194179585,64.06117549268265,3.6086667209768044,67.66984221365945
pp (two protons),-0.01,0.4097913755973848,60.79287412564145,3.5138966634224693,64.30677078906392
pp (two protons),-0.01,0.42084347984817105,57.688891349435835,3.421615437479166,61.110506786915
pp (two protons),-0.01,0.4321936601826526,54.7412025928063,3.3317576819669226,58.07296027477322
pp (two protons),-0.01,0.4438499557352474,51.94215257106612,3.2442597522075243,55.18641232327364
pp (two protons),-0.01,0.4558206224564336,49.28444042379806,3.1590596749461093,52.44350009874417
pp (two protons),-0.01,0.4681141389602956,46.76110524976025,3.0760971044565886,49.837202354216835
pp (two protons),-0.01,0.4807392125297774,44.36551204827356,2.9953132797998285,47.36082532807339
pp (two protons),-0.01,0.4937047852839001,42.09133807386024,2.9166509832042986,45.00798905706454
pp (two protons),-0.01,0.5070200405113077,39.93255960862507,2.8400544995397277,42.772614108164795
pp (two protons),-0.01,0.5206944091746305,37.88343915478799,2.7654695768550477,40.64890873164304
pp (two protons),-0.01,0.5347375765902704,35.93851304790837,2.692843387952689,38.631356435861065
pp (two protons),-0.01,0.5491594892883426,34.09257948963409,2.622124492971994,36.71470398260608
pp (two protons),-0.01,0.5639703620576277,32.34068699732347,2.553262802955265,34.89394980027874
pp (two protons),-0.01,0.5791806851805291,30.678123266527564,2.486209544370633,33.164332810898195
pp (two protons),-0.01,0.5948012318631565,29.1004044411618,2.4209172245666117,31.52132166572841
pp (two protons),-0.01,0.6108430658657985,27.60326478515799,2.357339598133889,29.96060438329188
pp (two protons),-0.01,0.6273175493391927,26.182646748500474,2.295431634150507,28.47807838265098
