config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,0.5921491056674464,-5.345344363984395,2.431760064532876,-2.9135842994515193
pp (two protons),-116.1,0.6000611206356914,-6.819550715641753,2.3996964607296802,-4.419854254912073
pp (two protons),-116.1,0.6080788521882536,-8.234939171367841,2.3680556267152655,-5.866883544652576
pp (two protons),-116.1,0.6162037128598978,-9.593229656540416,2.3368319881226514,-7.2563976684177645
pp (two protons),-116.1,0.6244371340590064,-10.896100148426058,2.3060200440848293,-8.59008010434123
pp (two protons),-116.1,0.6327805663197612,-12.145187436991364,2.275614366265637,-9.869573070725727
pp (two protons),-116.1,0.6412354795576919,-13.342087884231887,2.2456095979034187,-11.096478286328468
pp (two protons),-116.1,0.649803363328641,-14.48835818129237,2.2160004528672865,-12.272357728425083
pp (two protons),-116.1,0.6584857270911888,-15.585516102682504,2.1867817147258295,-13.398734387956676
pp (two protons),-116.1,0.6672841004725834,-16.635041256941577,2.157948235828104,-14.477093021113472
pp (two protons),-116.1,0.6762000335382258,-17.638375833135115,2.1294949363967355,-15.508880896738379
pp (two protons),-116.1,0.6852350970647538,-18.596925342604436,2.1014168036329868,-16.49550853897145
pp (two protons),-116.1,0.6943908828167767,-19.51205935543203,2.0737088908336174,-17.43835046459841
pp (two protons),-116.1,0.7036690038273058,-20.385112231115045,2.046366316519393,-18.338745914595652
pp (two protons),-116.1,0.7130710946819332,-21.217383842974414,2.0193842635750836,-19.19799957939933
pp (two protons),-116.1,0.7225988118068065,-22.010140295862584,1.9927579784008034,-20.01738231746178
pp (two protons),-116.1,0.7322538337604534,-22.764614636765145,1.9664827700745349,-20.79813186669061
pp (two protons),-116.1,0.7420378615295018,-23.482007557918905,1.9405540095257048,-21.5414535483932
pp (two protons),-116.1,0.7519526188283552,-24.16348809210649,1.9149671287196468,-22.248520963386845
pp (two protons),-116.1,0.7619998524028702,-24.810194299805744,1.8897176198528232,-22.92047667995292
pp (two protons),-116.1,0.7721813323380906,-25.42323394791606,1.864801034558658,-23.5584329133574
pp (two protons),-116.1,0.7824988523700966,-26.003685179791773,1.840212983123837,-24.163472196667936
pp (two protons),-116.1,0.7929542302020166,-26.55259717635522,1.8159491337149465,-24.736648042640276
pp (two protons),-116.1,0.8035493078242649,-27.070990808076658,1.7920052116153058,-25.278985596461354
pp (two protons),-116.1,0.8142859518390562,-27.559859277637543,1.7683769984718634,-25.791482279165677
pp (two protons),-116.1,0.8251660537892573,-28.020168753111193,1.7450603315520212,-26.27510842155917
pp (two protons),-116.1,0.8361915304916318,-28.45285899152077,1.722051103010263,-26.73080788851051
pp (two protons),-116.1,0.8473643243745375,-28.858843952652705,1.6993452591644465,-27.15949869348826
pp (two protons),-116.1,0.8586864038201381,-29.23901240302598,1.6769387997816394,-27.562073603244343
pp (two protons),-116.1,0.8701597635111832,-29.594228509929962,1.6548277773733766,-27.939400732556585
pp (two protons),-116.1,0.8817864247824264,-29.925332425468923,1.6330082965002028,-28.29232412896872
pp (two protons),-116.1,0.893568435976735,-30.233140860562116,1.6114765130853899,-28.621664347476727
pp (two protons),-116.1,0.905507872805961,-30.518447648865276,1.5902286337376998,-28.928219015127578
pp (two protons),-116.1,0.9176068387166313,-30.78202430059673,1.5692609150830814,-29.21276338551365
pp (two protons),-116.1,0.9298674652605262,-31.02462054626153,1.548569663105173,-29.476050883156358
pp (two protons),-116.1,0.9422919124702076,-31.246964870280408,1.5281512324945075,-29.7188136377859
pp (two protons),-116.1,0.9548823692395664,-31.44976503454768,1.508002026006292,-29.94176300854139
pp (two protons),-116.1,0.9676410537094534,-31.633708591944014,1.4881184938266603,-30.145590098117353
pp (two protons),-116.1,0.980570213658463,-31.799463389850644,1.4684971329472798,-30.330966256903363
pp (two protons),-116.1,0.99367212689894,-31.947678063715557,1.449134486548201,-30.498543577167357
pp (two protons),-116.1,1.0069491016782748,-32.07898252073164,1.4300271433888525,-30.64895537734279
pp (two protons),-116.1,1.0204034770855617,-32.193988413697525,1.4111717372070578,-30.782816676490466
pp (two protons),-116.1,1.034037623463694,-32.29328960513885,1.3925649461259788,-30.900724659012873
pp (two protons),-116.1,1.0478539428269593,-32.37746262177416,1.3742034920688821,-31.003259129705274
pp (two protons),-116.1,1.061854869284218,-32.44706709941693,1.356084140181619,-31.09098295923531
pp (two protons),-116.1,1.0760428694677369,-32.502646218410064,1.3382036982627197,-31.164442520147343
pp (two protons),-116.1,1.090420442967752,-32.544727129700505,1.320559016201001,-31.224168113499502
pp (two protons),-116.1,1.1049901227728356,-32.57382137165382,1.3031469854205955,-31.270674386233225
pp (two protons),-116.1,1.1197544757161488,-32.59042527773022,1.2859645383332916,-31.304460739396927
pp (two protons),-116.1,1.1347161029276591,-32.59502037513312,1.2690086477980964,-31.326011727335022
pp (two protons),-116.1,1.149877640292395,-32.58807377455241,1.2522763265879273,-31.335797447964485
pp (two protons),-116.1,1.1652417589148303,-32.57003855112589,1.2357646268633289,-31.33427392426256
pp (two protons),-116.1,1.180811165589466,-32.541354116746106,1.2194706396531387,-31.321883477092967
pp (two protons),-116.1,1.196588603277705,-32.50244658384213,1.2033914943419919,-31.299055089500136
pp (two protons),-116.1,1.2125768515910973,-32.453729120763,1.1875243581645878,-31.266204762598413
pp (two protons),-116.1,1.2287787272810424,-32.39560229890321,1.171866435706622,-31.22373586319659
pp (two protons),-116.1,1.2451970847350324,-32.32845443169958,1.156414968412303,-31.17203946328728
pp (two protons),-116.1,1.2618348164795292,-32.25266190563457,1.1411672340983587,-31.11149467153621
pp (two protons),-116.1,1.278694853689558,-32.16858950338815,1.126120546474452,-31.042468956913694
pp (two protons),-116.1,1.2957801667051134,-32.07659071927037,1.1112722546699185,-30.96531846460045
pp (two protons),-116.1,1.3130937655544608,-31.97700806707371,1.0966197427667488,-30.880388324306963
pp (two protons),-116.1,1.330638700484432,-31.87017338048622,1.0821604293387237,-30.788012951147497
pp (two protons),-116.1,1.348418062497809,-31.756408106199387,1.0678917669966277,-30.68851633920276
pp (two protons),-116.1,1.3664349838978824,-31.63602358985213,1.0538112419394605,-30.58221234791267
pp (two protons),-116.1,1.3846926388402936,-31.50932135494577,1.0399163735115629,-30.469404981434206
pp (two protons),-116.1,1.4031942438922413,-31.376593374870254,1.0262047137655852,-30.350388661104667
pp (two protons),-116.1,1.4219430585991668,-31.238122338176254,1.0126738470312175,-30.225448491145038
pp (two protons),-116.1,1.4409423860590085,-31.094181907226357,0.9993213894896045,-30.094860517736752
pp (two protons),-116.1,1.460195573504132,-30.945036970367937,0.986144988753371,-29.958891981614567
pp (two protons),-116.1,1.4797060128910287,-30.7909438877507,0.9731423234521918,-29.81780156429851
pp (two protons),-116.1,1.4994771414979018,-30.632150730932153,0.9603111028238167,-29.671839628108337
pp (two protons),-116.1,1.5195124425302324,-30.468897516393554,0.947649066310495,-29.52124845008306
pp (two protons),-116.1,1.5398154457344373,-30.30141643310276,0.9351539831607173,-29.36626244994204
pp (two protons),-116.1,1.56038972801973,-30.12993206424744,0.9228236520362091,-29.207108412211234
pp (two protons),-116.1,1.581238914088283,-29.954661603271234,0.9106559006241096,-29.044005702647123
pp (two protons),-116.1,1.6023666770738174,-29.77581506433262,0.8986485852542592,-28.877166479078358
pp (two protons),-116.1,1.623776739188721,-29.59359548731277,0.886799590521537,-28.70679589679123
pp (two protons),-116.1,1.6454728723798169,-29.40819913749874,0.8751068289131746,-28.533092308585566
pp (two protons),-116.1,1.6674588989928871,-29.219815700053687,0.8635682404409878,-28.3562474596127
pp (two protons),-116.1,1.6897386924460824,-29.02862846939979,0.8521817922784543,-28.176446677121337
pp (two protons),-116.1,1.7123161779123264,-28.834814533629242,0.8409454784025775,-27.993869055226664
