config,sigma_aS,sigma_at,sigma_eff,r_fm,V_MeV
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,8.119844993184014,0.6333505366503687
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,8.309941949353396,0.6050622691952867
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,8.504489341802678,0.5780568485297408
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,8.703591361485161,0.5522762016703382
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,8.907354638610439,0.5276648810499864
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,9.115888299750823,0.50416994600414
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,9.329304026284687,0.4817408495957807
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,9.547716114208061,0.4603293305378884
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,9.771241535346496,0.43988930998216347
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,10.0,0.42037679296299757
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1,2485.0110203525933
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10234114021054533,2403.5243223312423
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10473708979594494,2324.2489338716728
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10718913192051278,2247.137683334228
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10969857978923835,2172.1443324621036
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11226677735108136,2099.2235452519444
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11489510001873092,2028.3308575439364
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11758495540521567,1959.4226473599
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12033778407775896,1892.4561060199635
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12315506032928256,1827.389210070177
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12603829296797275,1764.1806940547913
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12898902612533086,1702.7900241680886
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1320088400831418,1643.1773728212202
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.13509935211980267,1585.3035941597864
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.13826221737646557,1529.1302005675802
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1414991297434576,1474.6193401911323
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.14481182276745339,1421.7337755183662
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.14820207057988583,1370.4368630427539
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15167168884709228,1320.6925340418993
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15522253574270473,1272.4652764964208
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15885651294280528,1225.7201181713644
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.16257556664437942,1180.4226108782132
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1663816886076129,1136.5388159308363
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.17027691722259,1094.0352908035375
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.174263338600965,1052.879076993715
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.17834308769319093,1013.0376890856332
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.18251834943190434,974.479105005496
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1867913599020783,937.1717574514164
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.19116440753857022,901.0845264752356
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.19563983435170637,866.18673318632
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.20022003718155845,832.448134540818
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2049074689815847,799.8389191732413
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2097046401323233,768.3297042209156
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2146141197858404,737.8915330858676
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.21963853724165458,708.4958740731204
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.22478058335487253,680.1146198393512
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2300430119772918,652.7200875813837
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2354286414322418,626.2850198902142
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2409403560239525,600.7825861931874
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.24658110758226032,576.1863847046416
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2523539170434766,552.4704448038274
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2582618760682676,529.6092297581995
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.26430814869741054,507.5776397103059
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2704959730463135,486.35101484740835
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2768286630392066,465.905138674661
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2833096101839324,446.21624131511635
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.28994228538828765,427.261002762918
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.29673024081888694,409.0165560198184
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.30367711180354584,391.46049004944143
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3107866187782013,374.57085248850126
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3180625692794119,358.3261520593801
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3255088599835058,342.7053606339791
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3331294787934673,327.6879149044994
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3409285069746812,313.25371762269106
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3489101213406773,299.3831383751053
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.35707859649004636,286.0570138678004
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3654383070957256,273.2566476998618
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3739937302478798,260.96380961079603
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.38274944785163123,249.1607341923932
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.39171014908092594,237.83011906090314
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.40088063288984654,226.95512249031162
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.41026581058271927,216.51936051212897
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.419870708444391,206.50690349131992
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.42970047043208404,196.90227219185954
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.439760360930272,187.69043334883872
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4500557675700499,178.8567947670499
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4605922041145106,170.38719996862483
