eps_p,s_p,K_p,m_p_predicted,m_n_predicted,mass_ratio,ratio_error,mu_u,mu_d,m_u_MeV,m_d_MeV,m_d_minus_m_u,d_to_u_ratio,m_2H_pred,m_2H_obs,B_2H_pred,B_2H_obs,m_3He_pred,B_3He_pred,B_3He_obs,m_4He_pred,B_4He_pred,B_4He_obs
0.04986644407345576,0.4159884087964102,15.594877684533005,938.272,939.565,1.0013780652092357,0.0,20.11602793768974,20.198576367167203,313.7069951869202,314.9943278476715,1.2873326607513036,1.004103614775897,1876.8010728519075,1875.613,1.035927148092469,2.224,2814.7274889159594,1.3815110840409943,7.718000000000302,3753.602145703815,2.071854296184938,28.295000000000073
0.05318864774624374,0.36568198326205287,16.633008356810855,938.2719999999999,939.565,1.001378065209236,2.220446049250313e-16,18.87190402719058,18.94925374460927,313.89653739319334,315.18309588941537,1.2865584962220282,1.0040986705584791,1876.658455592289,1875.613,1.1785444077108878,2.224,2814.537301340146,1.5716986598540643,7.718000000000302,3753.316911184578,2.3570888154217755,28.295000000000073
0.05651085141903172,0.32398828193660023,17.670870171951538,938.272,939.565,1.0013780652092357,0.0,17.774909114871434,17.847669323960268,314.09811128713113,315.38384749562397,1.2857362084928354,1.0040934222852347,1876.5066789052091,1875.613,1.330321094790861,2.224,2814.334900948129,1.774099051871417,7.718000000000302,3753.0133578104183,2.660642189581722,28.295000000000073
0.0598330550918197,0.2890476631925371,18.708452095322976,938.2719999999999,939.5649999999999,1.0013780652092357,0.0,16.80051777207323,16.869196149054904,314.31168191545436,315.5965480412005,1.2848661257461345,1.0040878726425821,1876.3457494665402,1875.613,1.4912505334598336,2.224,2814.120296971205,1.9887030287950438,7.718000000000302,3752.6914989330803,2.982501066919667,28.295000000000073
0.06315525876460767,0.2594766295220621,19.745742244106548,938.2720000000002,939.565,1.0013780652092357,0.0,15.929368896421016,15.994392969864213,314.53721234001733,315.82116093388856,1.28394859387123,1.004082024458471,1876.1756743518636,1875.613,1.6613256481366534,2.224,2813.8934991933047,2.2155008066956725,7.718000000000302,3752.351348703727,3.322651296273307,28.295000000000073
0.06647746243739566,0.23422867588733048,20.782728105532005,938.272,939.565,1.0013780652092357,0.0,15.145974198484558,15.207707382385374,314.7746636605076,316.0576476366071,1.2829839760995014,1.0040758806988457,1875.9964610355385,1875.613,1.8405389644615298,2.224,2813.6545179496948,2.4544820503056144,7.718000000000302,3751.992922071077,3.6810779289230595,28.295000000000073
0.06979966611018364,0.21250037401955607,21.819396692958872,938.272,939.5649999999999,1.0013780652092357,0.0,14.437795850691636,14.496549659088023,315.0239950381964,316.3059676908193,1.2819726526228692,1.0040694444639604,1875.8081173897517,1875.613,2.0288826102482744,2.224,2813.4033641256583,2.705635874341624,7.718000000000302,3751.6162347795034,4.057765220496549,28.295000000000073
0.07312186978297161,0.19366663384045588,22.855734659617664,938.272,939.565,1.0013780652092357,0.0,13.794575777858194,13.850619262754847,315.2851637207158,316.566078740914,1.280915020198222,1.00406271898456,1875.6106516835275,1875.613,2.2263483164724676,2.224,2813.14004915511,2.9689508448905144,7.718000000000302,3751.221303367055,4.452696632944935,28.295000000000073
0.0764440734557596,0.1772352236403529,23.89172838291822,938.272,939.565,1.0013780652092357,0.0,13.207839969143771,13.261407106323016,315.55812506783394,316.837936559571,1.279811491737064,1.0040557076179293,1875.4040725817008,1875.613,2.4329274182991867,2.224,2812.8645850191688,3.244414980831607,7.718000000000302,3750.8081451634016,4.865854836598373,28.295000000000073
0.07976627712854757,0.16281426880574945,24.927364027921943,938.272,939.565,1.0013780652092357,0.0,12.670526744200165,12.72182228007991,315.8428325781981,317.12149507407986,1.278662495881747,1.0040484138438226,1875.1883891438513,1875.613,2.648610856148707,2.224,2812.576984244666,3.532015755334214,7.718000000000302,3750.3767782877026,5.297221712297414,28.295000000000073
0.08308848080133556,0.1500886624301129,25.96262759581902,938.272,939.565,1.0013780652092357,0.0,12.176704255000798,12.22590838396867,316.1392379170106,317.4167063935801,1.2774684765695383,1.0040408412602833,1874.9636108231898,1875.613,2.8733891768101785,2.224,2812.2772599025984,3.831740097401962,7.718000000000302,3749.9272216463796,5.746778353620357,28.295000000000073
0.08641068447412353,0.13880270053181798,26.997504961451476,938.272,939.5650000000002,1.001378065209236,2.220446049250313e-16,11.721353191579828,11.768625333742815,316.4472909446015,317.72352083718516,1.2762298925836717,1.0040329935793544,1874.7297474654056,1875.613,3.107252534594636,2.224,2811.9654256065114,4.1435743934889615,7.718000000000302,3749.459494930811,6.214505069189272,28.295000000000073
0.08973288814691151,0.12874713303960883,28.03198190272425,938.272,939.5649999999999,1.0013780652092357,0.0,11.300197782843094,11.345679662130818,316.7669397458623,318.0418869629577,1.2749472170953595,1.004024874622706,1874.486809307466,1875.613,3.3501906925339426,2.224,2811.6414955108285,4.467504489171461,7.718000000000302,3748.973618614932,6.700381385067885,28.295000000000073
0.0930550918196995,0.11974939228781885,29.06604412393299,938.272,939.5649999999999,1.0013780652092357,0.0,10.909573016143709,10.953391188708338,317.09813066050174,318.3717515976954,1.2736209371936411,1.0040164883171678,1874.234806976375,1875.613,3.6021930236249773,2.224,2811.3054843091204,4.803515690879522,7.718000000000302,3748.46961395275,7.204386047249955,28.295000000000073
0.09637729549248747,0.11166613814598432,30.099677274476967,938.272,939.565,1.0013780652092357,0.0,10.546319331578252,10.588587278234476,317.44080831408303,318.7130598674902,1.272251553407159,1.0040078386901925,1873.9737514878798,1875.613,3.863248512120208,2.224,2810.957407232297,5.151592767703278,7.718000000000302,3747.9475029757596,7.726497024240416,28.295000000000073
0.09969949916527546,0.10437751268792532,31.132866964033887,938.272,939.565,1.0013780652092357,0.0,10.20769837923817,10.248518249142409,317.7949156498063,319.0657552290241,1.2708395792178067,1.0039989298652539,1873.7036542451417,1875.613,4.133345754858283,2.224,2810.597280046751,5.511719953249212,7.718000000000302,3747.4073084902834,8.266691509716566,28.295000000000073
0.10302170283806343,0.09778267060096923,32.165598774994514,938.2719999999999,939.5649999999999,1.0013780652092357,0.0,9.891325082632378,9.930789155707625,318.1603939609925,319.429779501558,1.2693855405655086,1.0039897660571828,1873.424527037355,1875.613,4.412472962645097,2.224,2810.225119052435,5.883880947565103,7.718000000000302,3746.84905407471,8.824945925290194,28.295000000000073
0.10634390651085142,0.09179627156060002,33.19785827275591,938.272,939.565,1.0013780652092357,0.0,9.595112440902234,9.633304361746369,318.5371829242294,319.8050728995773,1.2678899753478845,1.0039803515674635,1873.1363820383267,1875.613,4.700617961673288,2.224,2809.8409410808763,6.268058919124087,7.718000000000302,3746.2727640766534,9.401235923346576,28.295000000000073
0.10966611018363939,0.08634570502331249,34.22963101432636,938.272,939.5650000000002,1.001378065209236,2.220446049250313e-16,9.317226367402444,9.354222192229873,318.925220633138,320.19157406605154,1.2663534329135473,1.003970690779486,1872.839231805007,1875.613,4.997768194993114,2.224,2809.4447634931244,6.664236506876023,7.718000000000302,3745.678463610014,9.995536389986228,28.295000000000073
0.11298831385642738,0.08136887772550003,35.26090255558865,938.2719999999999,939.565,1.001378065209236,2.220446049250313e-16,9.056048498171755,9.091917587783279,319.3244436327192,320.5892201062688,1.2647764735496025,1.0039607881537698,1872.5330892759798,1875.613,5.30391072402017,2.224,2809.0366041776474,7.072395822352519,7.718000000000302,3745.0661785519596,10.60782144804034,28.295000000000073
0.11631051752921535,0.0768124371695479,36.291658457488765,938.272,939.5649999999999,1.0013780652092357,0.0,8.810145376209986,8.8449511613864,319.7347869542367,320.9979466222038,1.263159667967102,1.0039506482231721,1872.2179677699069,1875.613,5.619032230093126,2.224,2808.616481548159,7.492518451841079,7.718000000000302,3744.4359355398137,11.238064460186251,28.295000000000073
0.11963272120200333,0.0726303356016079,37.32188429135781,938.272,939.565,1.0013780652092357,0.0,8.57824277175448,8.612043412336636,320.15618415059726,321.41768774737824,1.2615035967809831,1.0039402755880786,1871.8938809839303,1875.613,5.943119016069659,2.224,2808.184414541389,7.924585458611546,7.718000000000302,3743.7877619678607,11.886238032139318,28.295000000000073
0.12295492487479132,0.0687826618890779,38.35156564352989,938.272,939.565,1.0013780652092357,0.0,8.359204166838722,8.392053121734067,320.58856733218386,321.848376182174,1.2598088499901223,1.0039296749115971,1871.5608429920308,1875.613,6.276157007969232,2.224,2807.7404226147905,8.368577385209846,7.718000000000302,3743.1216859840615,12.552314015938464,28.295000000000073
