sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.3858923467029904,259.8294898290508
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.39263134017068374,251.4955963409186
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.39948801939541706,243.4144448917266
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.406464439570963,235.5791806403106
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4135626917817709,227.98309213597554
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.42078490362974025,220.61961037746346
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.42813323987193935,213.48230778424772
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4356099030694608,206.564897082754
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.44321713424760867,199.8612301103724
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4509572135676147,193.3652965403728
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4588324610100845,187.07122253103648
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4668452370703792,180.9732693025055
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4749979434661411,175.06583164500057
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.4832930238571752,169.3434363621816
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.49173296457790183,163.8007406535237
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5003202953826005,158.43253043965296
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5090575902036683,153.23371863464354
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.517947467923121,148.1993433692876
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5269925931575656,143.32456616937588
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.536195677056882,138.60467009299646
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5455594781168519,134.0350578308337
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5550868030059806,129.61124977340364
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5647805074067554,125.32888204909705
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5746434968715973,121.18370453682064
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5846787276937591,117.17157885694587
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.5948892077934335,113.28847634417048
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6052779976193349,109.53047600579112
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6158482110660264,105.89376246877077
