sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
0.03500000000000003,1,1.0568688389363916,1.0568688389363923,0.8330275600942357,1.920957878926695,0.18274694993577545,0.6106749500024968,4.227475355745568,16.909901422982273,8.790091190353904,8.790091190353904
0.03749999999999998,1,1.0681904830898705,1.0681904830898705,0.8021112651376161,2.1362171074008924,0.09945489557458895,0.5456126223361004,4.272761932359482,17.09104772943793,8.749270525274596,8.749270525274596
0.040000000000000036,1,1.081462295790519,1.0814622957905182,0.7668150831426577,2.4015317184131812,0.03410675894431043,0.47440417815145286,4.325849183162075,17.303396732648302,8.701812309261626,8.701812309261626
0.04249999999999998,1,1.0971271809674226,1.097127180967421,0.7264432992569202,2.732373613342866,0.0009896395139676194,0.39725426396102914,4.388508723869688,17.554034895478758,8.64633364069364,8.64633364069364
0.04500000000000004,1,1.1157815331104997,1.1157815331104997,0.6801479201672426,3.150795672013085,0.022375534087383825,0.31491390621875115,4.463126132441999,17.852504529767995,8.58100936825684,8.58100936825684
0.04749999999999999,1,1.138246654043141,1.138246654043141,0.6268999334835045,3.689071765809751,0.13367484023796575,0.22916014987912248,4.552986616172564,18.211946464690257,8.503383861578026,8.503383861578026
0.050000000000000044,1,1.1656841422292334,1.1656841422292328,0.5654679134771452,4.3959216953054,0.3926182342275668,0.14370506497579114,4.662736568916933,18.65094627566773,8.410077317584477,8.410077317584477
0.05249999999999999,1,1.1997902874616493,1.1997902874616493,0.49442950473310665,5.347650547190961,0.8963484105582471,0.06598153370827094,4.799161149846597,19.19664459938639,8.29631077676141,8.29631077676141
0.05500000000000005,1,1.2431403468092512,1.2431403468092512,0.41228733338303136,6.669188406385657,1.8149539345247645,0.01081748934225174,4.972561387237005,19.89024554894802,8.155104731928704,8.155104731928704
0.057499999999999996,1,1.2998364908928188,1.2998364908928182,0.3178933768777702,8.576518592739552,3.4616247813575782,0.008454876056444585,5.1993459635712735,20.797383854285094,7.9758567680055235,7.9758567680055235
0.06000000000000005,1,1.3768231426205335,1.3768231426205324,0.21179608437190292,11.469472955344111,6.451655171161332,0.12342777980776534,5.507292570482133,22.029170281928536,7.741656451927784,7.741656451927784
0.0625,1,1.4868290000930335,1.4868290000930335,0.10053261234850867,16.156843459895686,12.101771911323459,0.5036340927506645,5.947316000372134,23.789264001488537,7.423812360717922,7.423812360717922
0.06500000000000006,1,1.6558551655937326,1.6558551655937326,0.01146405936076772,24.4830150437071,23.580073368821093,1.5261663267561254,6.62342066237493,26.49368264949972,6.969551011080436,6.969551011080436
0.0675,1,1.9460439444843531,1.946043944484354,0.052839115160759356,41.444244278773176,49.921941511171745,4.321669723149436,7.784175777937415,31.13670311174965,6.270596065961761,6.270596065961761
0.07000000000000006,1,2.548200174238848,2.548200174238848,0.7340335219443643,84.81067796763023,124.9153115862529,13.309197854727561,10.192800696955391,40.771202787821565,5.068219089213371,5.068219089213371
0.07250000000000001,1,4.408763286476323,4.40876328647632,5.879800271631578,260.5437392621175,460.49222675498856,57.356982462457374,17.635053145905285,70.54021258362114,2.619745006805875,2.619745006805875
0.07500000000000007,1,31.176726385454753,31.176726385454767,176.7707819672793,4118.304166529023,8596.639182576753,1209.5555335452427,124.70690554181904,498.82762216727616,7.724493052203647,7.724493052203647
0.07750000000000001,0,2.0664495389023956,2.066449538902397,73.65851511232275,1058.4592345849878,2574.0835329699903,399.3797430920649,8.265798155609586,33.06319262243833,36.63808224548256,36.63808224548256
0.07999999999999996,0,0.00048253802510344484,0.0004825380251034344,17.476022690913176,170.6654302982754,477.83754978062177,80.32595388765078,0.0019301521004137581,0.007720608401655054,18.33047299583205,18.33047299583205
0.08250000000000002,0,0.10995621889174773,0.10995621889174767,9.488588818630857,67.22416516190849,214.4496466842606,38.54240896759479,0.43982487556699085,1.7592995022679634,14.732800484673595,14.732800484673595
0.08499999999999996,0,0.24212490333489028,0.24212490333489028,6.6615688622441755,35.8903342108758,129.25312559177345,24.582465671685867,0.9684996133395611,3.8739984533582446,13.228916161810162,13.228916161810162
0.08750000000000002,0,0.3405751529563843,0.3405751529563843,5.272336854038615,22.385015477401662,90.26437925424261,18.019533994517726,1.3623006118255372,5.449202447302149,12.407213087986968,12.407213087986968
0.08999999999999997,0,0.4130426700862455,0.4130426700862455,4.461525517058671,15.350594526104933,68.79823975959759,14.322266770389357,1.652170680344982,6.608682721379928,11.890596012835191,11.890596012835191
0.09250000000000003,0,0.46778732268821593,0.46778732268821566,3.9354462367768477,11.222871227447923,55.53400424514213,11.991892197212268,1.8711492907528635,7.484597163011454,11.536333077556758,11.536333077556758
0.09499999999999997,0,0.5103207493321145,0.5103207493321145,3.568780162705911,8.593231306534,46.66516686912394,10.406500121005811,2.041282997328458,8.165131989313831,11.278615808997987,11.278615808997987
0.09750000000000003,0,0.5441946473477259,0.5441946473477259,3.29971487030423,6.8139526135418595,40.385771115902834,9.266728700179277,2.1767785893909037,8.707114357563615,11.082928692903096,11.082928692903096
0.09999999999999998,0,0.5717435423424881,0.5717435423424879,3.094468600958423,5.553268209925425,35.74262367399031,8.412460469294603,2.286974169369952,9.147896677479809,10.9294372985571,10.9294372985571
0.10250000000000004,0,0.5945479364403127,0.5945479364403127,2.9331091140291146,4.626897044225838,32.19075613977007,7.751022550384946,2.3781917457612507,9.512766983045003,10.80593758267431,10.80593758267431
0.10499999999999998,0,0.6137097859816861,0.6137097859816858,2.8031555489875255,3.925792980795203,29.39857591293323,7.225382610709136,2.454839143926744,9.819356575706976,10.704510654742249,10.704510654742249
0.10750000000000004,0,0.6300183005650415,0.6300183005650413,2.6964128167125634,3.382063702230305,27.153994882670208,6.798674840305815,2.5200732022601655,10.080292809040662,10.619794849684077,10.619794849684077
0.10999999999999999,0,0.6440523585815752,0.644052358581575,2.6072870175686638,2.951635770005868,25.31569429592796,6.446091260348974,2.5762094343263002,10.304837737305203,10.548031201499318,10.548031201499318
0.11250000000000004,0,0.6562456059834146,0.6562456059834146,2.5318344510185016,2.604879999493433,23.786238105711266,6.150368751961979,2.6249824239336585,10.499929695734634,10.486506615685494,10.486506615685494
0.11499999999999999,0,0.6669289951063672,0.6669289951063666,2.467197851171307,2.3212769876187296,22.49647314501185,5.899148695508074,2.6677159804254673,10.67086392170187,10.433214030634247,10.433214030634247
0.11750000000000005,0,0.6763593020530956,0.676359302053095,2.4112581265849515,2.0862483009855897,21.39608485706191,5.683365776432824,2.705437208212381,10.821748832849524,10.386636958806719,10.386636958806719
0.12,0,0.684738694881996,0.6847386948819955,2.3624115253885454,1.8892035480229035,20.447667868258595,5.496228779941711,2.7389547795279827,10.95581911811193,10.34560836418957,10.34560836418957
0.12250000000000005,0,0.6922284471571738,0.6922284471571738,2.319422654596586,1.7222977974390914,19.62288425004652,5.332555482191912,2.768913788628695,11.07565515451478,10.309215588294418,10.309215588294418
0.125,0,0.6989587335646892,0.6989587335646892,2.281324926402484,1.579618592557205,18.899904974167605,5.188326653300565,2.7958349342587567,11.183339737035027,10.276734702700947,10.276734702700947
0.12750000000000006,0,0.7050357488318801,0.7050357488318801,2.2473515344356256,1.4566407726922903,18.26166410965698,5.060379736736853,2.8201429953275206,11.280571981310082,10.247584185817441,10.247584185817441
