n_t,n_r,mass_MeV,err_vs_m_s_target,abs_err_pct,z3_uds_ok
-6,4,1879.130818821828,2.3707390095162686,237.07390095162685,False
-6,5,1880.7032383565386,2.3735595773085088,237.3559577308509,False
-6,6,1882.5516304157827,2.376875177881161,237.6875177881161,False
-6,7,1884.6751830209491,2.380684354726806,238.06843547268062,False
-6,8,1887.0729672449206,2.3849854415586487,238.49854415586486,False
-6,9,1889.7439392191798,2.3897765659108128,238.97765659108128,False
-6,10,1892.6869423711553,2.395055653151643,239.50556531516432,False
-6,11,1895.9007098807933,2.4008204308902386,240.08204308902384,False
-6,12,1899.383867344433,2.40706843375485,240.706843375485,False
-6,13,1903.1349356332219,2.413797008520234,241.3797008520234,False
-6,14,1907.1523339326131,2.421003319559831,242.10033195598308,False
-6,15,1911.434382948872,2.4286843545975163,242.86843545975162,False
-6,16,1915.9793082680283,2.4368369307328077,243.68369307328078,False
-6,17,1920.7852438523423,2.4454577007127427,244.54577007127426,False
-6,18,1925.8502356590834,2.4545431594231517,245.45431594231516,False
-6,19,1931.172245366261,2.4640896505717858,246.40896505717856,False
-6,20,1936.7491541899171,2.474093373535682,247.4093373535682,False
-6,21,1942.5787667776376,2.4845503903452495,248.45503903452496,False
-6,22,1948.6588151631033,2.495456632777847,249.54566327778468,False
-6,23,1954.9869627667563,2.506807909534078,250.6807909534078,False
-6,24,1961.5608084279922,2.5185999134706427,251.85999134706427,False
-6,25,1968.3778904547125,2.530828228864323,253.08282288643233,False
-6,26,1975.4356906765615,2.543488338682582,254.3488338682582,False
-6,27,1982.7316384887288,2.5565756318372364,255.65756318372362,False
-6,28,1990.2631148738071,2.570085410398769,257.0085410398769,False
-6,29,1998.0274563898643,2.584012896750033,258.4012896750033,False
-6,30,2006.021959113581,2.5983532406593577,259.83532406593577,False
-5,-30,1697.7675230009863,2.0454139549780015,204.54139549780015,True
-5,-29,1688.9731961051175,2.029638905985442,202.9638905985442,True
-5,-28,1680.4434789851582,2.014338507552079,201.4338507552079,True
-5,-27,1672.1824209288654,1.9995200231914834,199.95200231914833,True
-5,-26,1664.1940228113053,1.9851906295757218,198.51906295757217,True
-5,-25,1656.4822293510438,1.9713574026447016,197.13574026447017,True
-5,-24,1649.0509211811222,1.95802730338328,195.802730338328,True
-5,-23,1641.9039067614112,1.945207163313841,194.5207163313841,True
-5,-22,1635.0449141616991,1.9329036697570015,193.29036697570015,True
-5,-21,1628.4775827475378,1.9211233509178829,192.11233509178828,True
-5,-20,1622.2054548034491,1.909872560860024,190.9872560860024,True
-5,-19,1616.2319671304735,1.899157464433269,189.9157464433269,True
-5,-18,1610.5604426572727,1.8889840222259666,188.89840222259667,True
-5,-17,1605.1940821059347,1.8793579756152974,187.93579756152974,True
-5,-16,1600.135955755327,1.8702848319925742,187.02848319925744,True
-5,-15,1595.3889953461778,1.8617698502427775,186.17698502427774,True
-5,-14,1590.9559861730725,1.8538180265593693,185.38180265593692,True
-5,-13,1586.839559409128,1.846434080676483,184.6434080676483,True
-5,-12,1583.0421847092869,1.8396224426008911,183.9622442600891,True
-5,-11,1579.5661631378798,1.8333872399256417,183.33872399256416,True
-5,-10,1576.4136204653487,1.827732285805881,182.7732285805881,True
-5,-9,1573.5865008777841,1.8226610676751784,182.26610676751784,True
-5,-8,1571.0865611412003,1.8181767367775423,181.81767367775424,True
-5,-7,1568.915365260265,1.8142820985863821,181.4282098586382,True
-5,-6,1567.0742796685147,1.8109796041768327,181.09796041768328,True
-5,-5,1565.5644689839544,1.8082713426122532,180.82713426122532,True
-5,-4,1564.3868923603914,1.8061590343993386,180.61590343993385,True
-5,-3,1563.542300460902,1.804644026059198,180.46440260591982,True
-5,-2,1563.0312330755614,1.8037272858540967,180.37272858540967,True
-5,-1,1562.8540174009938,1.803409400701355,180.3409400701355,True
-5,0,1563.0107669944935,1.8036905742972766,180.36905742972766,True
-5,1,1563.5013814105118,1.8045706264650874,180.45706264650875,True
-5,2,1564.325546522212,1.8060489937317326,180.60489937317325,True
-5,3,1565.4827355257007,1.8081247311292428,180.81247311292427,True
