name,Z,A,m_obs_MeV,m_Ma_MeV,E_Coulomb_MeV,m_total_MeV,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred,rel_err_mass,rel_err_binding
139La,57,139,129361.33144870875,129361.69514213043,437.50494353658576,129799.200085667,1164.5420590512513,726.6734220929939,8.378000424829146,5.227866345992761,0.003384849491378887,-0.3760007065051713
140Ce,58,140,130291.4572050069,130287.97873826543,452.0486598459902,130740.02739811142,1172.6883909130847,724.118197808566,8.376345649379177,5.172272841489757,0.003442821215812458,-0.38251439732873166
141Pr,59,141,131224.5031021667,131214.43277170206,466.8012206681477,131681.23399237022,1177.9145819132973,721.183691709768,8.354004127044663,5.114777955388425,0.0034805305366478315,-0.38774534012615514
142Nd,60,142,132155.5527143156,132141.05365758188,481.7615801338958,132622.81523771578,1185.1370579244103,717.8745345242205,8.346035619185988,5.055454468480426,0.0035357010265795225,-0.3942687643389787
152Sm,62,152,141480.65963683155,141462.79936484,503.1513905123898,141965.9507553524,1253.0976758884499,767.806557367614,8.244063657160854,5.0513589300500925,0.0034300880400652332,-0.3872731773895942
153Eu,63,153,142413.0383979152,142388.98671341542,518.5135508407193,142907.50026425614,1258.9910029647872,764.529136623838,8.228699365782923,4.996922461593712,0.003472026662048857,-0.3927445590767092
158Gd,64,158,147072.67530456377,147050.35313624627,529.5331784966713,147579.88631474294,1295.8878665562079,788.6768563770456,8.201821940229165,4.9916256732724404,0.003448710028078364,-0.39140038522550863
159Tb,65,159,148004.81569630664,147976.4213489793,545.1959712119142,148521.6173201912,1302.0195629733498,785.2179390887904,8.188802282851256,4.938477604332015,0.003491789246540414,-0.3969230867041415
164Dy,66,164,152665.34022368543,152637.98854243188,556.460521241528,153194.4490636734,1338.0288058345614,808.9199658465805,8.158712230698544,4.932438816137686,0.00346580854051568,-0.39543905010173735
165Ho,67,165,153597.39165774148,153563.94579671096,572.421282316241,154136.3670790272,1344.2494599385245,805.2740386528021,8.146966423869845,4.880448719107892,0.0035090141536173506,-0.40094895876720005
166Er,68,166,154528.34746843425,154490.05172266078,588.580723882687,155078.63244654346,1351.5657374057337,801.2807592965255,8.141962273528517,4.826992525882684,0.0035610616894846156,-0.40714629180039297
169Tm,69,169,157325.9687432352,157283.7899262593,602.5421747613781,157886.3321010207,1371.3473918048257,810.9840340193186,8.114481608312579,4.798722094788868,0.0035617982349757625,-0.4086224695027966
174Yb,70,174,161987.25830672026,161945.38053055963,614.2649427714643,162559.6454733311,1406.591598559724,834.2044319488923,8.083859761837493,4.794278344533864,0.0035335320357544773,-0.4069320243323834
175Lu,71,175,162920.02130912122,162871.32769377346,630.8634808590516,163502.19117463252,1412.1006843187497,829.9308188074501,8.069146767535713,4.742461821756858,0.003573347590022113,-0.4122722069157272
180Hf,72,180,167582.36690747022,167533.09087210207,642.8234216699452,168175.91429377202,1446.2888562097796,852.7414699079818,8.03493809005433,4.737452610599899,0.0035418248187741737,-0.41039338978057205
181Ta,73,181,168514.69471582645,168458.9404909234,659.7116908013736,169118.65218172478,1452.2331360135286,848.2756701151957,8.023387491787451,4.68660591223865,0.003584004747578911,-0.41588189314852997
184W,74,184,171311.39334571894,171252.77273056222,674.3318212795222,171927.10455184174,1472.9374353210442,857.2262291982479,8.005094757179588,4.65883820216439,0.0035941054129438195,-0.41801585821504683
187Re,75,187,174109.85371040733,174046.6210914291,689.0818267057298,174735.7029181348,1491.8799998326576,866.0307921051863,7.9779679135436234,4.631180706444846,0.0035945651230540406,-0.41950371866213915
192Os,76,192,178772.15124366066,178708.69135939,701.5082693242546,179410.19962871427,1526.1162368193618,888.0678517657507,7.948522066767509,4.625353394613285,0.0035690591661783596,-0.4180863617462013
193Ir,77,193,179704.4765369828,179634.3631680464,718.9691070340034,180353.3322750804,1532.0630316571915,883.2072935595934,7.938150423094256,4.576203593573022,0.003610682107655036,-0.42351765213977405
195Pt,78,195,181568.69572999378,181494.18177811056,735.3579739793008,182229.53975208986,1545.68134732623,884.8373252301535,7.926571011929385,4.537627308872582,0.0036396363340011045,-0.42754221187906943
197Au,79,197,183432.82820090378,183354.0146513054,751.8963339299007,184105.9109852353,1559.386385096208,886.3036007646879,7.915666929422375,4.4990030495669435,0.0036693692777517986,-0.43163310310035413
202Hg,80,202,188093.5832730729,188016.07956072406,764.759658366124,188780.83921909018,1595.165083167085,907.9091371498071,7.896856847361807,4.494599688860431,0.0036537979342948913,-0.4308368790600537
205Tl,81,205,190891.0789824688,190810.0101461216,780.2768719105748,191590.2870180322,1615.0723029711808,915.8642674078001,7.878401477908199,4.467630572720976,0.003662863866087713,-0.43292677007529445
208Pb,82,208,193687.12333090376,193603.9523857876,795.9200436230809,194399.87242941067,1636.4308837362332,923.6817852293316,7.867456171808813,4.440777813602556,0.0036798992429104807,-0.43555099429532984
