name,Z_obs,A,Z_obs_over_A,Z_pred_optimal,Z_pred_over_A,delta_Z
89Y,39,89,0.43820224719101125,57.44092045048525,0.64540360056725,18.44092045048525
90Zr,40,90,0.4444444444444444,58.0863240510525,0.64540360056725,18.0863240510525
93Nb,41,93,0.44086021505376344,60.02253485275425,0.64540360056725,19.022534852754248
98Mo,42,98,0.42857142857142855,63.2495528555905,0.64540360056725,21.2495528555905
103Rh,45,103,0.4368932038834951,66.47657085842675,0.64540360056725,21.476570858426754
108Pd,46,108,0.42592592592592593,69.703588861263,0.64540360056725,23.703588861263
107Ag,47,107,0.4392523364485981,69.05818526069575,0.64540360056725,22.05818526069575
114Cd,48,114,0.42105263157894735,73.5760104646665,0.64540360056725,25.576010464666496
115In,49,115,0.4260869565217391,74.22141406523374,0.64540360056725,25.221414065233745
120Sn,50,120,0.4166666666666667,77.44843206807,0.64540360056725,27.448432068070005
130Te,52,130,0.4,83.9024680737425,0.64540360056725,31.902468073742497
127I,53,127,0.41732283464566927,81.96625727204075,0.64540360056725,28.96625727204075
132Xe,54,132,0.4090909090909091,85.193275274877,0.64540360056725,31.193275274876996
133Cs,55,133,0.41353383458646614,85.83867887544424,0.64540360056725,30.838678875444245
138Ba,56,138,0.4057971014492754,89.0656968782805,0.64540360056725,33.065696878280505
139La,57,139,0.41007194244604317,89.71110047884775,0.64540360056725,32.711100478847754
140Ce,58,140,0.4142857142857143,90.356504079415,0.64540360056725,32.356504079415004
141Pr,59,141,0.41843971631205673,91.00190767998225,0.64540360056725,32.00190767998225
142Nd,60,142,0.4225352112676056,91.6473112805495,0.64540360056725,31.647311280549502
152Sm,62,152,0.40789473684210525,98.101347286222,0.64540360056725,36.101347286221994
153Eu,63,153,0.4117647058823529,98.74675088678924,0.64540360056725,35.74675088678924
158Gd,64,158,0.4050632911392405,101.9737688896255,0.64540360056725,37.973768889625504
159Tb,65,159,0.4088050314465409,102.61917249019275,0.64540360056725,37.61917249019275
164Dy,66,164,0.4024390243902439,105.846190493029,0.64540360056725,39.846190493029
165Ho,67,165,0.40606060606060607,106.49159409359625,0.64540360056725,39.49159409359625
166Er,68,166,0.40963855421686746,107.1369976941635,0.64540360056725,39.1369976941635
169Tm,69,169,0.40828402366863903,109.07320849586525,0.64540360056725,40.073208495865245
174Yb,70,174,0.40229885057471265,112.3002264987015,0.64540360056725,42.300226498701505
175Lu,71,175,0.4057142857142857,112.94563009926875,0.64540360056725,41.945630099268755
180Hf,72,180,0.4,116.172648102105,0.64540360056725,44.172648102105
181Ta,73,181,0.40331491712707185,116.81805170267225,0.64540360056725,43.81805170267225
184W,74,184,0.40217391304347827,118.754262504374,0.64540360056725,44.754262504374
187Re,75,187,0.40106951871657753,120.69047330607575,0.64540360056725,45.690473306075745
192Os,76,192,0.3958333333333333,123.91749130891199,0.64540360056725,47.91749130891199
193Ir,77,193,0.39896373056994816,124.56289490947925,0.64540360056725,47.562894909479255
195Pt,78,195,0.4,125.85370211061375,0.64540360056725,47.85370211061375
197Au,79,197,0.4010152284263959,127.14450931174825,0.64540360056725,48.14450931174825
202Hg,80,202,0.39603960396039606,130.3715273145845,0.64540360056725,50.37152731458451
205Tl,81,205,0.3951219512195122,132.30773811628626,0.64540360056725,51.30773811628626
208Pb,82,208,0.3942307692307692,134.243948917988,0.64540360056725,52.24394891798801
209Bi,83,209,0.39712918660287083,134.88935251855526,0.64540360056725,51.889352518555256
232Th,90,232,0.3879310344827586,149.733635331602,0.64540360056725,59.73363533160199
235U,92,235,0.39148936170212767,151.66984613330374,0.64540360056725,59.669846133303736
238U,92,238,0.3865546218487395,153.6060569350055,0.64540360056725,61.60605693500551
