sigma_pS_ring,sigma_aS,sigma_pS_tube,sigma_eff_tube,sigma_eff_ring,config,r_fm,V_MeV
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.29763514416313175,420.86094732420474
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.3028328665574946,407.8072622469033
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.30812135887140035,395.126706870047
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.3135022062565115,382.81022849050237
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.31897702154663216,370.84892075541006
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.32454744574113303,359.2340240714541
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.33021514849681755,347.9569259392613
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.33598182862837817,337.00916120834313
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.3418492146175929,326.3824122485578
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.34781906513141303,316.0685090346876
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.353893169549099,306.0594291412938
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.36007334849856193,296.34729764557846
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.36636145440207163,286.9243869365621
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.372759372031494,277.7831164294073
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.37926901907322497,268.9160521842466
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.3858923467029904,260.3159064293807
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.39263134017068374,251.97553698917068
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.39948801939541706,243.88794661741554
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.406464439570963,236.04628223741224
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4135626917817709,228.4438340902941
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.42078490362974025,221.07403479360187
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.42813323987193935,213.93045831238283
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4356099030694608,207.00681884539495
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.44321713424760867,200.2969696292837
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4509572135676147,193.79490166382834
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4588324610100845,187.49474236156288
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4668452370703792,181.39075412526267
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4749979434661411,175.47733285693653
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.4832930238571752,169.7490064020917
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.49173296457790183,164.20043293313256
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5003202953826005,158.826399275825
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5090575902036683,153.6218191828243
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.517947467923121,148.5817315582642
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5269925931575656,143.70129863743546
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.536195677056882,138.97580412555544
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5455594781168519,134.40065129959976
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5550868030059806,129.97136107712595
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5647805074067554,125.68357005594703
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5746434968715973,121.53302852844604
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5846787276937591,117.51559847422686
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.5948892077934335,113.62725153470296
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6052779976193349,109.8640669731144
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6158482110660264,106.22222962335172
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6266030164072655,102.69802783083651
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6375456372456506,99.28785138858893
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6486793534788511,95.98818947147129
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.6600075022827095,92.7956285714697
