name,Z,A,B_obs,B_pred,B_per_A_obs,B_per_A_pred,rel_err
59Co,27,59,517.3138907029715,379.07202595058334,8.768032045813078,6.424949592382768,-0.26723014254369437
60Ni,28,60,526.8462951041874,380.0248906193374,8.780771585069791,6.333748176988957,-0.2786797702654721
63Cu,29,63,551.3846800269166,397.0793721249065,8.752137778205025,6.302847176585818,-0.2798505535091716
64Zn,30,64,559.0981558943386,397.4849241344564,8.73590868584904,6.210701939600881,-0.28906057023451304
70Ge,32,70,610.5194405059374,430.6472370013216,8.721706292941963,6.152103385733166,-0.29462158216543555
75As,33,75,652.5660506127024,462.10599234989786,8.700880674836032,6.161413231331972,-0.2918632651575717
80Se,34,80,696.8655630406429,492.0209432112024,8.710819538008035,6.15026179014003,-0.29395141716522655
84Kr,36,84,732.2660601957905,508.0086583915254,8.717453097568935,6.047722123708636,-0.30625125756108923
88Sr,38,88,768.4689463707618,523.15652016901,8.732601663304111,5.944960456466023,-0.31922230216365355
89Y,39,89,775.5455131456401,522.987271755308,8.713994529726294,5.876261480396719,-0.3256523790150586
90Zr,40,90,783.893206087625,522.3316735352564,8.709924512084722,5.803685261502849,-0.33366985518066955
93Nb,41,93,805.7650680479273,536.7962002132845,8.66414051664438,5.772002152831016,-0.3338055700109408
98Mo,42,98,846.246022867359,565.8052878253511,8.63516349864652,5.773523345156644,-0.3313938588352625
103Rh,45,103,884.1688165169035,577.5113601054036,8.584163267154402,5.606906408790326,-0.3468313411227812
108Pd,46,108,925.2388668365602,605.7174956278031,8.567026544782964,5.608495329887067,-0.345339330913775
107Ag,47,107,915.2666772083612,589.2428172313812,8.553894179517394,5.5069422171157125,-0.35620641294554684
114Cd,48,114,972.5931084728945,631.8250158595765,8.531518495376268,5.5423247005226015,-0.35037066337882133
115In,49,115,979.4043205228081,630.2963163859094,8.516559308893983,5.480837533790517,-0.35644932008319513
120Sn,50,120,1020.5401063812897,657.1610550074838,8.504500886510748,5.476342125062365,-0.35606542957170345
130Te,52,130,1095.942970996155,708.4374544023594,8.430330546124269,5.449518880018149,-0.3535818257418753
127I,53,127,1072.5775897353597,679.9296953221346,8.445492832561888,5.353777128520745,-0.36607877898148533
132Xe,54,132,1112.4469534719829,705.6449413078517,8.42762843539381,5.345795009907968,-0.36568216659184416
133Cs,55,133,1118.5279114053556,703.6494729977276,8.409984296280868,5.290597541336298,-0.37091469437393026
138Ba,56,138,1158.2930875265884,728.8446135817649,8.393428170482524,5.281482707114238,-0.37075976587399395
139La,57,139,1164.5420590512513,726.6734220929939,8.378000424829146,5.227866345992761,-0.3760007065051713
140Ce,58,140,1172.6883909130847,724.118197808566,8.376345649379177,5.172272841489757,-0.38251439732873166
141Pr,59,141,1177.9145819132973,721.183691709768,8.354004127044663,5.114777955388425,-0.38774534012615514
142Nd,60,142,1185.1370579244103,717.8745345242205,8.346035619185988,5.055454468480426,-0.3942687643389787
152Sm,62,152,1253.0976758884499,767.806557367614,8.244063657160854,5.0513589300500925,-0.3872731773895942
153Eu,63,153,1258.9910029647872,764.529136623838,8.228699365782923,4.996922461593712,-0.3927445590767092
158Gd,64,158,1295.8878665562079,788.6768563770456,8.201821940229165,4.9916256732724404,-0.39140038522550863
159Tb,65,159,1302.0195629733498,785.2179390887904,8.188802282851256,4.938477604332015,-0.3969230867041415
164Dy,66,164,1338.0288058345614,808.9199658465805,8.158712230698544,4.932438816137686,-0.39543905010173735
165Ho,67,165,1344.2494599385245,805.2740386528021,8.146966423869845,4.880448719107892,-0.40094895876720005
166Er,68,166,1351.5657374057337,801.2807592965255,8.141962273528517,4.826992525882684,-0.40714629180039297
169Tm,69,169,1371.3473918048257,810.9840340193186,8.114481608312579,4.798722094788868,-0.4086224695027966
174Yb,70,174,1406.591598559724,834.2044319488923,8.083859761837493,4.794278344533864,-0.4069320243323834
175Lu,71,175,1412.1006843187497,829.9308188074501,8.069146767535713,4.742461821756858,-0.4122722069157272
180Hf,72,180,1446.2888562097796,852.7414699079818,8.03493809005433,4.737452610599899,-0.41039338978057205
181Ta,73,181,1452.2331360135286,848.2756701151957,8.023387491787451,4.68660591223865,-0.41588189314852997
184W,74,184,1472.9374353210442,857.2262291982479,8.005094757179588,4.65883820216439,-0.41801585821504683
187Re,75,187,1491.8799998326576,866.0307921051863,7.9779679135436234,4.631180706444846,-0.41950371866213915
192Os,76,192,1526.1162368193618,888.0678517657507,7.948522066767509,4.625353394613285,-0.4180863617462013
193Ir,77,193,1532.0630316571915,883.2072935595934,7.938150423094256,4.576203593573022,-0.42351765213977405
195Pt,78,195,1545.68134732623,884.8373252301535,7.926571011929385,4.537627308872582,-0.42754221187906943
197Au,79,197,1559.386385096208,886.3036007646879,7.915666929422375,4.4990030495669435,-0.43163310310035413
202Hg,80,202,1595.165083167085,907.9091371498071,7.896856847361807,4.494599688860431,-0.4308368790600537
205Tl,81,205,1615.0723029711808,915.8642674078001,7.878401477908199,4.467630572720976,-0.43292677007529445
208Pb,82,208,1636.4308837362332,923.6817852293316,7.867456171808813,4.440777813602556,-0.43555099429532984
209Bi,83,209,1640.229932622111,918.0046604186646,7.847990108239765,4.392366796261553,-0.44031952949967185
232Th,90,232,1766.6870390371187,981.3827602197707,7.615030340677236,4.230098104395563,-0.444506730091457
235U,92,235,1783.8646370101196,974.7747497988457,7.590913348979233,4.147977658718492,-0.4535601359121982
238U,92,238,1801.6900694178476,994.4954889943474,7.570126342091797,4.178552474766166,-0.44802077456325023
