name,Z,A,B_obs,B_magic,B_refit,E_Coulomb,B_obs_nonCoulomb,ratio_magic,ratio_refit,ratio_refit_nonC
90Zr,40,90,783.893206087625,98.86130671505816,769.9908507282234,247.154645170337,1031.047851257962,0.1261157845830434,0.9822649880730724,0.7468041854592607
93Nb,41,93,805.7650680479273,101.98599612968974,794.3223483741167,257.00478776402974,1062.769855811957,0.12657038654798516,0.9857989380185813,0.7474076763000149
98Mo,42,98,846.246022867359,106.76736389327561,831.5400357136095,265.18531491390166,1111.4313377812607,0.12616586785425918,0.9826220900821244,0.7481704064360868
103Rh,45,103,884.1688165169035,112.72927079915826,877.989714017298,299.9009195678744,1184.0697360847778,0.12749745149715208,0.9930113996510899,0.7415016930678778
108Pd,46,108,925.2388668365602,117.47651738085551,914.9406653282203,308.61766117174915,1233.8565280083094,0.12696885268397104,0.9888696834109986,0.7415292171814475
107Ag,47,107,915.2666772083612,117.24665451195324,913.1777130350092,323.3350453670939,1238.6017225754551,0.12810108510621757,0.9977176442392467,0.737265011335699
114Cd,48,114,972.5931084728945,123.62375551923469,962.8051969368535,330.34101098952016,1302.9341194624146,0.12710737351752477,0.9899362729894217,0.738951557530862
115In,49,115,979.4043205228081,125.10296240159369,974.3379825602606,343.39691244288014,1322.8012329656883,0.12773372526559149,0.9948271231233254,0.7365717224014211
120Sn,50,120,1020.5401063812897,129.7493078751868,1010.5002333855518,352.6663457099977,1373.2064520912872,0.12713788224870648,0.9901621965340118,0.7358691272143661
130Te,52,130,1095.942970996155,138.79049290822877,1080.859201856656,371.692745070586,1467.635716066741,0.12664025098137674,0.9862367207613105,0.7364628633823079
127I,53,127,1072.5775897353597,137.37971942436707,1069.9285525057203,389.28677949948616,1461.8643692348458,0.1280837123011895,0.9975302138931572,0.7318931735546242
132Xe,54,132,1112.4469534719829,141.9471857812605,1105.4743253910565,399.0892237481853,1511.5361772201682,0.12759906019629857,0.9937321702763763,0.7313581653229824
133Cs,55,133,1118.5279114053556,143.4899482074834,1117.5038281889429,413.1086142052367,1531.6365256105923,0.12828463799995646,0.9990844366010267,0.7296142456144717
138Ba,56,138,1158.2930875265884,148.02414048874925,1152.789573900547,423.17113511521376,1581.464222641802,0.12779506506840946,0.9952486001295291,0.7289381304970889
139La,57,139,1164.5420590512513,149.5846513012948,1164.9577706484706,437.50494353658576,1602.0470025878371,0.1284493334857832,1.0003569743093332,0.7271682845551207
140Ce,58,140,1172.6883909130847,151.12287999375258,1176.951843537885,452.0486598459902,1624.737050759075,0.12886874396026424,1.0036356227774035,0.7243952755235161
141Pr,59,141,1177.9145819132973,152.63930004340364,1188.7754801525734,466.8012206681477,1644.7158025814451,0.1295843538972667,1.0092204463770493,0.7227847378171622
142Nd,60,142,1185.1370579244103,154.1343716176052,1200.4322653293784,481.7615801338958,1666.898638058306,0.13005615729167092,1.012905855320865,0.7201591254089134
152Sm,62,152,1253.0976758884499,163.30595609796,1271.8102621271973,503.1513905123898,1756.2490664008396,0.13032180909774302,1.0149330627602355,0.7241628117893184
153Eu,63,153,1258.9910029647872,164.85650101563078,1283.9005819963058,518.5135508407193,1777.5045538055065,0.13094335116566488,1.0197853511048605,0.7223050873470727
158Gd,64,158,1295.8878665562079,169.379136027419,1319.0960141671821,529.5331784966713,1825.4210450528792,0.13070508675842468,1.0179090708462681,0.7226256198492388
159Tb,65,159,1302.0195629733498,170.94492676662048,1331.3054691609286,545.1959712119142,1847.215534185264,0.1312921338725841,1.0224926775452592,0.7207093295412961
164Dy,66,164,1338.0288058345614,175.44186852450366,1366.3001319197065,556.460521241528,1894.4893270760895,0.13111964986065922,1.021129086281152,0.7211970594885442
