sigma_aS,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.25,1,2.2976190394371163,2.2976190394371163,2.2976190394371248,2.297619039437103,2.297619039437136,2.297619039437118,9.190476157748465,36.76190463099386,20.678571354934064,20.678571354934064
-0.2475,1,2.251178070790393,2.2511780707903917,2.2511780707903957,2.251178070790388,2.251178070790396,2.2511780707903895,9.004712283161568,36.018849132646274,20.26060263711354,20.26060263711354
-0.245,1,2.2065764913941903,2.2065764913941903,2.2065764913941996,2.2065764913941734,2.2065764913942156,2.2065764913941956,8.826305965576761,35.305223862307045,19.859188422547728,19.859188422547728
-0.2425,1,2.16371997036058,2.16371997036058,2.1637199703605834,2.163719970360565,2.1637199703606074,2.163719970360594,8.65487988144232,34.61951952576928,19.473479733245227,19.473479733245227
-0.24,1,2.122520280344725,2.122520280344725,2.122520280344729,2.122520280344714,2.1225202803447427,2.122520280344731,8.4900811213789,33.9603244855156,19.102682523102537,19.102682523102537
-0.2375,1,2.082894828443567,2.082894828443566,2.082894828443572,2.082894828443553,2.0828948284435898,2.0828948284435755,8.331579313774267,33.326317255097074,18.74605345599211,18.74605345599211
-0.235,1,2.0447662287892423,2.0447662287892414,2.044766228789246,2.0447662287892445,2.0447662287892325,2.0447662287892303,8.179064915156967,32.71625966062787,18.402896059103174,18.402896059103174
-0.23249999999999998,1,2.0080619126480377,2.008061912648037,2.0080619126480386,2.0080619126480315,2.008061912648047,2.0080619126480417,8.032247650592147,32.12899060236859,18.072557213832333,18.072557213832333
-0.22999999999999998,1,1.9727137723040453,1.9727137723040442,1.9727137723040375,1.972713772304057,1.972713772304027,1.9727137723040424,7.890855089216179,31.563420356864714,17.75442395073639,17.75442395073639
-0.22749999999999998,1,1.9386578354172765,1.9386578354172743,1.9386578354172754,1.9386578354172765,1.9386578354172743,1.938657835417275,7.754631341669102,31.018525366676407,17.447920518755485,17.447920518755485
-0.22499999999999998,1,1.9058339669070194,1.9058339669070183,1.9058339669070214,1.9058339669070152,1.9058339669070241,1.905833966907019,7.623335867628076,30.493343470512304,17.152505702163182,17.152505702163182
-0.22249999999999998,1,1.874185595728881,1.874185595728881,1.8741855957288878,1.8741855957288664,1.8741855957289024,1.8741855957288862,7.496742382915524,29.986969531662098,16.867670361559938,16.867670361559938
-0.21999999999999997,1,1.8436594641940025,1.8436594641940025,1.8436594641940027,1.8436594641940038,1.843659464193997,1.8436594641939978,7.37463785677601,29.49855142710404,16.59293517774602,16.59293517774602
-0.21749999999999997,1,1.8142053977263386,1.8142053977263375,1.814205397726343,1.8142053977263342,1.8142053977263408,1.8142053977263342,7.256821590905352,29.027286363621418,16.327848579537054,16.327848579537054
-0.21499999999999997,1,1.785776093172573,1.7857760931725721,1.7857760931725735,1.7857760931725741,1.785776093172569,1.785776093172569,7.143104372690289,28.572417490761158,16.071984838553156,16.071984838553156
-0.21249999999999997,1,1.758326923972984,1.758326923972983,1.7583269239729882,1.7583269239729806,1.758326923972984,1.758326923972977,7.033307695891934,28.133230783567736,15.824942315756848,15.824942315756848
-0.21000000000000002,1,1.731815760673464,1.7318157606734619,1.7318157606734657,1.7318157606734683,1.731815760673451,1.7318157606734512,6.927263042693853,27.70905217077541,15.586341846061167,15.586341846061167
-0.20750000000000002,1,1.7062028054114629,1.7062028054114629,1.706202805411465,1.7062028054114577,1.7062028054114704,1.706202805411465,6.824811221645851,27.299244886583406,15.355825248703173,15.355825248703173
-0.20500000000000002,1,1.68145043914453,1.6814504391445282,1.6814504391445255,1.68145043914454,1.6814504391445118,1.6814504391445222,6.725801756578115,26.90320702631246,15.13305395230075,15.13305395230075
-0.2025,1,1.6575230805109842,1.657523080510983,1.657523080510985,1.6575230805109795,1.6575230805109906,1.657523080510987,6.630092322043935,26.52036928817574,14.917707724598854,14.917707724598854
-0.2,1,1.6343870553201747,1.6343870553201758,1.6343870553201825,1.6343870553201598,1.634387055320199,1.6343870553201825,6.537548221280701,26.150192885122795,14.70948349788159,14.70948349788159
-0.1975,1,1.612010475766163,1.612010475766162,1.6120104757661584,1.6120104757661646,1.6120104757661629,1.612010475766168,6.448041903064651,25.79216761225861,14.508094281895463,14.508094281895463
-0.195,1,1.5903631285447597,1.5903631285447597,1.5903631285447617,1.590363128544752,1.5903631285447712,1.5903631285447641,6.361452514179039,25.445810056716155,14.313268156902842,14.313268156902842
-0.1925,1,1.5694163711310833,1.5694163711310833,1.5694163711310825,1.5694163711310765,1.5694163711310969,1.569416371131093,6.277665484524333,25.110661938097333,14.124747340179761,14.124747340179761
-0.19,1,1.5491430355438984,1.5491430355438975,1.5491430355439002,1.5491430355438975,1.5491430355438967,1.5491430355438947,6.196572142175591,24.786288568702364,13.942287319895087,13.942287319895087
-0.1875,1,1.5295173389850805,1.5295173389850805,1.5295173389850814,1.5295173389850756,1.529517338985089,1.529517338985085,6.118069355940322,24.472277423761287,13.765656050865726,13.765656050865726
-0.185,1,1.5105148007983633,1.5105148007983633,1.510514800798366,1.510514800798358,1.5105148007983724,1.5105148007983655,6.042059203193453,24.168236812773813,13.594633207185277,13.594633207185277
-0.1825,1,1.4921121652416844,1.4921121652416833,1.4921121652416889,1.4921121652416813,1.4921121652416844,1.4921121652416773,5.968448660966736,23.873794643866944,13.429009487175154,13.429009487175154
-0.18,1,1.4742873296126076,1.4742873296126067,1.474287329612613,1.4742873296126,1.474287329612615,1.4742873296126044,5.897149318450429,23.588597273801717,13.268585966513468,13.268585966513468
-0.1775,1,1.4570192773070965,1.4570192773070958,1.4570192773070918,1.4570192773071065,1.4570192773070776,1.4570192773070898,5.828077109228384,23.312308436913543,13.113173495763855,13.113173495763855
-0.175,1,1.4402880154286593,1.4402880154286586,1.4402880154286608,1.4402880154286526,1.440288015428669,1.4402880154286626,5.761152061714635,23.044608246858548,12.962592138857937,12.962592138857937
-0.1725,1,1.4240745165981268,1.424074516598126,1.4240745165981226,1.4240745165981326,1.4240745165981188,1.4240745165981266,5.696298066392506,22.78519226557003,12.816670649383132,12.816670649383132
-0.16999999999999998,1,1.4083606646443392,1.4083606646443383,1.4083606646443383,1.40836066464434,1.408360664644337,1.4083606646443383,5.633442658577356,22.533770634309427,12.67524598179905,12.67524598179905
-0.16749999999999998,1,1.3931292038833094,1.3931292038833087,1.393129203883309,1.3931292038833067,1.3931292038833147,1.3931292038833127,5.572516815533236,22.290067262132943,12.53816283494978,12.53816283494978
-0.16499999999999998,1,1.3783636917180033,1.3783636917180033,1.3783636917179993,1.3783636917180015,1.3783636917180107,1.3783636917180138,5.513454766872013,22.053819067488053,12.405273225462025,12.405273225462025
-0.16249999999999998,1,1.3640484543132774,1.3640484543132774,1.3640484543132774,1.364048454313276,1.3640484543132798,1.364048454313279,5.4561938172531095,21.824775269012438,12.276436088819503,12.276436088819503
-0.15999999999999998,1,1.3501685451208736,1.350168545120873,1.350168545120871,1.3501685451208758,1.3501685451208707,1.3501685451208745,5.400674180483493,21.60269672193397,12.151516906087858,12.151516906087858
-0.15749999999999997,1,1.3367097060477477,1.3367097060477469,1.3367097060477515,1.3367097060477398,1.336709706047758,1.3367097060477489,5.346838824190989,21.387355296763957,12.030387354429731,12.030387354429731
-0.15499999999999997,1,1.3236583310778787,1.3236583310778787,1.323658331077882,1.3236583310778745,1.3236583310778833,1.3236583310778773,5.294633324311515,21.17853329724606,11.912924979700911,11.912924979700911
-0.15249999999999997,1,1.311001432172935,1.3110014321729342,1.311001432172933,1.311001432172937,1.3110014321729317,1.311001432172935,5.2440057286917385,20.976022914766954,11.799012889556415,11.799012889556415
-0.14999999999999997,1,1.298726607291178,1.298726607291177,1.29872660729118,1.2987266072911765,1.298726607291177,1.2987266072911736,5.1949064291647105,20.77962571665885,11.688539465620597,11.688539465620597
-0.14750000000000002,1,1.286822010376631,1.286822010376631,1.2868220103766328,1.2868220103766268,1.2868220103766372,1.2868220103766335,5.147288041506524,20.589152166026096,11.581398093389685,11.581398093389685
