mass_MeV,substrate,kind,closure,n1,n2,n3,n4,n5,tube_dim,sigma_eff
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,-2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,-1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,-3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,-2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,-1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,3,3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,-3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,-2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,-1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-3,3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,-3,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,-2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,-1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,1,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,2,,
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,3,3,,
6.484722e+00,"Ma(d3,d4)",2D,closed,0,0,-1,2,0,d3,1.6837
6.484722e+00,"Ma(d3,d4)",2D,closed,0,0,1,-2,0,d3,1.6837
6.654674e+00,"Ma(d3,d4)",2D,closed,0,0,-1,3,0,d3,1.6837
6.654674e+00,"Ma(d3,d4)",2D,closed,0,0,1,-3,0,d3,1.6837
8.176356e+00,"Ma(d3,d4)",2D,closed,0,0,-3,-1,0,d4,1.6837
8.176356e+00,"Ma(d3,d4)",2D,closed,0,0,3,1,0,d4,1.6837
8.539534e+00,"Ma(d3,d4)",2D,closed,0,0,-2,-2,0,d4,1.6837
8.539534e+00,"Ma(d3,d4)",2D,closed,0,0,2,2,0,d4,1.6837
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,-2,0,-2,d3,2.0000
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,-2,0,-2,d5,2.0000
1.239842e+01,Ma(d3),1D,closed,0,0,-2,0,0,,
1.239842e+01,Ma(d3),1D,closed,0,0,2,0,0,,
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,2,0,2,d3,2.0000
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,2,0,2,d5,2.0000
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,-2,0,2,d3,2.0000
1.239842e+01,"Ma(d3,d5)",2D,closed,0,0,2,0,-2,d3,2.0000
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,-3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,-2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,-1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-1,3,,
